"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.431000024E-3,1.329839857E0,1.567221610E0,-3.122113196E0,3.737947088E0
1.836100002E-2,1.212187446E0,1.138627135E0,-2.497950992E0,3.000938073E0
2.829000002E-2,1.317683204E0,6.425698239E-1,-1.531440158E0,2.120022161E0
3.822000002E-2,1.388623378E0,7.219615638E-2,-4.718375587E-1,1.468372518E0
4.814900001E-2,1.210159047E0,-4.404812801E-1,4.026667517E-1,1.349314341E0
5.807900001E-2,7.738933173E-1,-6.929739922E-1,1.178919713E0,1.571297397E0
6.800800000E-2,3.506928983E-1,-5.400500071E-1,1.941546323E0,2.045541895E0
7.793800000E-2,6.813614219E-2,-1.494574633E-1,2.034999447E0,2.041617696E0
8.786800000E-2,-1.492987114E-1,2.611267108E-1,1.645226975E0,1.672497852E0
9.779700002E-2,-3.018309331E-1,6.081440493E-1,9.223222554E-1,1.145259551E0
1.077270000E-1,-3.485425848E-1,8.188250765E-1,-8.364909768E-2,8.938420503E-1
1.176560000E-1,-1.615778643E-1,9.118273804E-1,-1.172210618E0,1.493858865E0
1.275860000E-1,2.051045376E-1,1.081073868E0,-1.960939783E0,2.248571416E0
1.375150000E-1,7.125346828E-1,1.363345572E0,-2.391381394E0,2.843434858E0
1.474450000E-1,1.285010424E0,1.629961942E0,-2.401974794E0,3.174509511E0
1.573750000E-1,1.517496888E0,1.657512560E0,-2.045505724E0,3.038788962E0
1.673040000E-1,9.825760585E-1,1.311729861E0,-1.441295389E0,2.182526824E0
1.772340000E-1,3.481274325E-1,9.120136142E-1,-7.328385544E-1,1.220661250E0
1.871630000E-1,1.124846417E-1,5.617560410E-1,-2.345177865E-1,6.190486544E-1
1.970930000E-1,1.303475931E-1,3.630615136E-1,-2.142419815E-2,3.863458994E-1
2.070220000E-1,3.394767693E-1,2.887963200E-1,-1.690289712E-1,4.766745057E-1
2.169520000E-1,3.770375285E-1,3.607588801E-1,-5.742275673E-1,7.759133756E-1
2.268820000E-1,3.671358535E-1,5.411907989E-1,-1.018838736E0,1.210664522E0
2.368110000E-1,4.946187495E-1,7.898518306E-1,-1.294160732E0,1.594793285E0
2.467410000E-1,3.557906471E-1,1.091438935E0,-1.377914495E0,1.793453174E0
2.566700000E-1,7.333329365E-2,6.221507621E-1,-1.121917546E0,1.284970164E0
2.666000000E-1,1.352855667E-2,1.058040516E0,-1.131187137E0,1.548940636E0
2.765290000E-1,6.055683509E-1,1.399475518E0,-1.592083386E0,2.204534931E0
2.864590000E-1,1.319097937E0,6.715085712E-1,-8.412248826E-1,1.702528247E0
2.963890000E-1,1.630134288E0,-1.089387147E0,-5.398576337E-1,2.033604784E0
3.063180000E-1,2.220459386E0,-1.859710739E0,-2.261480820E-1,2.905186203E0
3.162480000E-1,2.472680495E0,-1.324223607E0,-8.892831481E-1,2.942539976E0
3.261770000E-1,1.565667712E0,-1.095417673E0,-2.543145876E0,3.181013393E0
3.361070000E-1,4.487337479E-1,-1.474069325E0,-3.426413993E0,3.756934283E0
3.460360000E-1,-5.942322077E-1,-1.928049780E0,-3.450611526E0,3.997149956E0
3.559660000E-1,3.278463650E-1,-2.425394062E0,-2.491538935E0,3.492532872E0
3.658960000E-1,2.370451285E0,-2.843048690E0,-1.708385675E0,4.076830480E0
3.758250000E-1,2.443704180E0,-2.999906389E0,-1.025764763E0,4.002914165E0
3.857550000E-1,1.180266254E0,-3.373744321E0,-7.849185348E-2,3.575100019E0
3.956840000E-1,2.679888569E-3,-3.231160845E0,1.046166868E0,3.396302799E0
4.056140000E-1,-1.098016395E0,-2.334791894E0,3.920501377E0,4.693316976E0
4.155430000E-1,-1.187144991E0,-1.840853468E0,2.466706395E0,3.298893021E0
4.254730000E-1,-5.097523668E-1,-1.089637261E0,8.966746134E-1,1.500394015E0
4.354030000E-1,-7.126462184E-1,-1.204447926E0,4.332693243E-1,1.465019367E0
4.453320000E-1,-3.565485924E0,-3.794898507E0,-2.223248801E0,5.661870697E0
4.552623750E-1,-7.987432237E0,-5.364336796E0,-5.418612991E0,1.104248839E1
4.651913750E-1,-5.506024772E0,-4.721724873E0,-5.811375144E0,9.294249600E0
4.751213750E-1,-3.754512373E0,-4.096514847E0,-4.850482315E0,7.375972868E0
4.850503750E-1,-5.000486201E0,-4.525492900E0,-5.078499752E0,8.442517869E0
4.949803750E-1,-4.716576984E0,-5.458175837E0,-4.155798597E0,8.325169301E0
5.049103750E-1,-3.570337359E0,-5.861225581E0,-1.232000152E0,6.972739673E0
5.148393750E-1,-3.260899783E0,-6.258450914E0,1.130971960E0,7.147081419E0
5.247693750E-1,-2.921019264E0,-7.253820096E0,2.187411216E0,8.120038630E0
5.346983750E-1,-2.687849261E0,-7.903277940E0,2.560094615E0,8.731576048E0
5.446283750E-1,-2.764768213E0,-8.461654290E0,2.444309220E0,9.231369571E0
5.545573750E-1,-2.546538430E0,-9.048025355E0,2.737708468E0,9.790131177E0
5.644873750E-1,-9.708243245E-1,-8.312958426E0,1.809515024E0,8.562833777E0
5.744173750E-1,4.917987835E-1,-6.373490789E0,-8.221623749E-1,6.445091299E0
5.843463750E-1,1.107456213E0,-5.764258865E0,-7.434635299E-1,5.916576506E0
5.942763750E-1,1.433796335E0,-6.735563246E0,-5.386098379E-1,6.907509300E0
