"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.321700000E-2,-8.937024736E-1,-1.120504859E0,-9.290138090E-1,1.708011097E0
2.314700000E-2,-1.363490583E0,-9.767785442E-1,-1.294563020E0,2.118748760E0
3.307700000E-2,-1.375012814E0,-7.980157131E-1,-1.706181859E0,2.332069007E0
4.300700000E-2,-1.119915460E0,-5.085756147E-1,-1.883342553E0,2.249408581E0
5.293700000E-2,-7.049847579E-1,-6.203656071E-1,-1.545585743E0,1.808505539E0
6.286699997E-2,-4.569949865E-1,-7.104764628E-1,-1.222228870E0,1.485753894E0
7.279699997E-2,-6.569086584E-1,-5.569160083E-1,-4.313835973E-1,9.632114170E-1
8.272599999E-2,-7.521532233E-1,-8.690745860E-2,2.988389128E-1,8.139975882E-1
9.265599999E-2,-7.646706502E-1,3.558293849E-1,6.776624733E-1,1.081925220E0
1.025860000E-1,-7.903872894E-1,4.867292476E-1,4.316590011E-1,1.023692786E0
1.125160000E-1,-7.191648406E-1,1.226099727E-1,-7.753174067E-2,7.336500829E-1
1.224460000E-1,-3.250980274E-1,1.141434968E-2,-4.728280771E-1,5.739210793E-1
1.323760000E-1,-1.390212066E-1,1.146118587E-1,-7.929005688E-1,8.131138211E-1
1.423050000E-1,-2.983549096E-1,1.505845141E-1,-8.879260093E-1,9.487380808E-1
1.522350000E-1,-4.341534233E-1,1.755114868E-1,-6.031461418E-1,7.635959307E-1
1.621650000E-1,-4.684502667E-1,4.798763108E-1,-2.220024061E-1,7.064078103E-1
1.720950000E-1,-5.552217776E-1,6.061460558E-1,-1.415435493E-1,8.340976199E-1
1.820250000E-1,2.702592576E-1,6.547609761E-1,-9.028644758E-1,1.147569721E0
1.919550000E-1,5.999630637E-2,7.078262123E-1,-1.749520252E0,1.888236907E0
2.018840000E-1,-7.773516530E-1,5.105551895E-1,-1.990941846E0,2.197451167E0
2.118140000E-1,-8.634500031E-1,6.204927841E-1,-1.687519886E0,1.994562751E0
2.217440000E-1,-7.223856331E-1,9.441431871E-1,-1.324208404E0,1.779543553E0
2.316740000E-1,-7.125012074E-1,1.023979315E0,-1.115394393E0,1.673408575E0
2.416040000E-1,-2.473037468E-1,1.284907221E0,-1.310835822E0,1.852143693E0
2.515340000E-1,7.166227636E-1,1.348315012E0,-1.280359549E0,1.992692182E0
2.614630000E-1,1.635614591E0,8.270567867E-1,-9.837770766E-1,2.080162339E0
2.713930000E-1,2.270444017E0,6.066126636E-1,-1.455371391E0,2.764236033E0
2.813230000E-1,2.644809076E0,-8.500635338E-1,-3.454941974E0,4.433311076E0
2.912530000E-1,3.934161057E0,-8.682565606E-1,-3.507875648E0,5.341973815E0
3.011830000E-1,4.444744898E0,-3.846789622E-1,-1.615557618E0,4.744866861E0
3.111130000E-1,3.269699843E0,-1.178325343E0,-1.143762744E0,3.658904330E0
3.210430000E-1,1.551601212E0,-2.551942135E0,-4.583603114E-1,3.021583882E0
3.309720000E-1,4.665220012E-1,-3.888794850E0,-1.711702216E-1,3.920416739E0
