"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.746708333E-2,-1.931823573E0,-5.192754346E-1,-2.749378341E0,3.400098610E0
3.739608332E-2,-1.498932563E0,-1.715228087E-1,-1.340496408E0,2.018204529E0
4.732508335E-2,-7.229263544E-1,-2.082918549E-1,-1.535198164E-1,7.678387492E-1
5.725408334E-2,-8.441786036E-2,-5.076383060E-1,6.126279867E-1,8.000850423E-1
6.718308333E-2,1.192479698E-1,-7.371953148E-1,8.606569344E-1,1.139476796E0
7.711208332E-2,-2.592070699E-2,-7.583780229E-1,8.612147588E-1,1.147824015E0
8.704108334E-2,-2.656644425E-1,-6.149809062E-1,9.725358045E-1,1.180933953E0
9.696908333E-2,-4.481621826E-1,-4.404912204E-1,1.037120056E0,1.212641689E0
1.068980833E-1,-4.923513454E-1,-2.367829978E-1,1.165389256E0,1.287092908E0
1.168270833E-1,-3.269279136E-1,-1.444344127E-1,1.146260090E0,1.200689533E0
1.267560833E-1,-1.394096079E-1,-1.438929605E-1,8.839025402E-1,9.063244030E-1
1.366850833E-1,-5.238520503E-3,-5.373766601E-2,4.680988491E-1,4.712024102E-1
1.466140834E-1,-3.626852453E-2,6.339843571E-2,2.022803324E-1,2.150630150E-1
1.565430833E-1,-1.196882652E-1,1.327440745E-1,9.050086498E-2,2.003414003E-1
1.664710833E-1,-2.762832785E-1,1.358021683E-1,-8.091201603E-2,3.183102782E-1
1.764000834E-1,-4.923028135E-1,1.460956067E-1,-1.386006457E-1,5.318986045E-1
1.863290833E-1,-4.996681125E-1,1.637577063E-1,-1.517925489E-1,5.472894910E-1
1.962580833E-1,-3.923718515E-1,1.577344894E-1,-7.291185558E-2,4.291293251E-1
2.061870833E-1,-3.102902462E-1,5.519946992E-2,-1.352227092E-2,3.154518508E-1
2.161160833E-1,-2.602898280E-1,-8.924312890E-2,5.591750801E-2,2.807879954E-1
2.260450833E-1,-1.912611084E-1,-1.739540809E-1,2.368882477E-2,2.596189405E-1
2.359730833E-1,-1.783514795E-1,-1.352735800E-1,-4.692507505E-2,2.287141323E-1
2.459020833E-1,-2.676855326E-1,-2.268251896E-2,-1.652323741E-1,3.153914686E-1
2.558310833E-1,-3.152155021E-1,1.200433373E-1,-3.670472682E-1,4.984926405E-1
2.657600833E-1,-2.424581592E-1,2.497258097E-1,-6.335107327E-1,7.228310919E-1
2.756890833E-1,-1.423770699E-1,2.741928989E-1,-1.050742899E0,1.095223089E0
2.856180833E-1,-5.637344465E-2,3.523315805E-1,-1.345818543E0,1.392315718E0
2.955470833E-1,3.670545772E-2,5.493476647E-1,-1.344220499E0,1.452604178E0
3.054750833E-1,4.630146950E-2,8.170337820E-1,-1.064406087E0,1.342627404E0
3.154040833E-1,-1.836187975E-1,9.926133889E-1,-6.434381354E-1,1.197083889E0
3.253330833E-1,-4.083579198E-1,1.149532776E0,-1.124413723E-1,1.225081572E0
3.352620833E-1,-4.889361329E-1,1.377560738E0,3.513486636E-1,1.503388843E0
3.451910833E-1,-3.387582196E-1,1.654864356E0,5.668974978E-1,1.781770451E0
3.551200833E-1,5.873550050E-2,1.544330345E0,1.488011134E-1,1.552593909E0
3.650490833E-1,4.795720363E-1,7.921608961E-1,-8.441502446E-1,1.253035458E0
3.749770833E-1,5.185859017E-1,6.009475887E-2,-1.669872404E0,1.749576110E0
3.849060833E-1,2.440787881E-1,-2.055138427E-1,-2.017930255E0,2.043000956E0
3.948350833E-1,-4.061351739E-2,8.584823549E-2,-2.046880989E0,2.049083005E0
4.047640833E-1,-2.143658694E-1,5.988186175E-1,-1.917420126E0,2.020157519E0
4.146930833E-1,-3.820012298E-1,1.015993481E0,-1.804714460E0,2.105982425E0
4.246220833E-1,-5.168021355E-1,1.386479496E0,-1.834312481E0,2.356716385E0
4.345510833E-1,-5.549637692E-1,1.652665803E0,-1.891477200E0,2.572348157E0
4.444790833E-1,-5.555631088E-1,1.439043626E0,-1.731554098E0,2.319003346E0
4.544080833E-1,-8.611820874E-1,1.499074650E0,-1.431068024E0,2.244284983E0
4.643370833E-1,-9.245354996E-1,1.552830443E0,-1.355080533E0,2.258825253E0
4.742660833E-1,-2.604637096E-1,1.180440866E0,-1.859399375E0,2.217802520E0
4.841950834E-1,1.276702262E-1,7.187189904E-1,-2.659617734E0,2.757974468E0
4.941240833E-1,2.686767087E-1,1.918354511E-2,-3.589567682E0,3.599659890E0
5.040530833E-1,3.348408043E-1,-8.717575809E-1,-4.751488954E0,4.842388556E0
5.139810833E-1,2.594351113E-1,-1.727604596E0,-6.090875561E0,6.336457158E0
5.239100833E-1,1.712254778E-2,-2.459648513E0,-6.996112252E0,7.415911989E0
5.338390833E-1,1.482069632E-1,-2.896348984E0,-7.504936373E0,8.045798451E0
5.437680833E-1,3.003439862E-1,-3.284963122E0,-7.761946644E0,8.433801333E0
5.536970833E-1,3.347829169E-1,-3.414179864E0,-7.486246918E0,8.234840415E0
5.636260833E-1,4.657643482E-1,-2.834648580E0,-6.538436649E0,7.141661068E0
5.735550833E-1,6.859906626E-1,-1.353705268E0,-4.946507045E0,5.174073162E0
5.834830833E-1,6.333282264E-1,2.933928162E-1,-2.422422507E0,2.520974968E0
5.934120833E-1,4.493388616E-1,1.402743234E0,-1.212923611E0,1.908082199E0
6.033410833E-1,2.036277063E0,9.602452496E-1,-4.334540963E-3,2.251336049E0
6.132700833E-1,3.216781372E0,-5.522145545E-1,-6.416822165E-1,3.326316187E0
6.231990833E-1,1.694261141E0,-1.885844869E0,-3.653346772E0,4.446782468E0
6.331280833E-1,-6.946625950E-1,-1.760234983E0,-3.760592893E0,4.209874371E0
6.430570833E-1,-1.265462305E0,-1.682304754E0,-3.297363020E0,3.912051510E0
6.529860833E-1,-7.509802718E-1,-1.563017170E0,-5.356417912E0,5.630116064E0
6.629140833E-1,-7.529178198E-1,-1.956188920E-1,-7.130281293E0,7.172591115E0
6.728430833E-1,-1.229302539E0,4.250338134E-1,-6.856498284E0,6.978782644E0
6.827720833E-1,-2.983976527E0,1.911747158E-3,-6.490184841E0,7.143291877E0
6.927010833E-1,-3.643966376E0,-6.755703396E-1,-5.341147324E0,6.500980001E0
7.026300833E-1,-1.649369874E0,-1.597054397E0,-3.971235913E0,4.587125287E0
7.125590833E-1,6.347228605E-1,-1.940446754E0,-3.072910631E0,3.689307043E0
7.224880833E-1,2.043446335E0,-1.470165724E0,-1.387681099E0,2.874494566E0
7.324160833E-1,2.228763017E0,-6.611818036E-1,7.111453843E-1,2.431105453E0
7.423450833E-1,2.449529176E0,-3.615253039E-1,1.126759041E0,2.720382265E0
7.522740833E-1,2.930172203E0,-5.916081235E-2,1.767068331E0,3.422271121E0
7.622030833E-1,3.047208610E0,-6.620802283E-3,3.108768096E0,4.353155547E0
7.721320833E-1,2.753299484E0,-5.249577588E-1,4.391558917E0,5.209801188E0
7.820610833E-1,2.026229208E0,-1.094659289E0,5.292707820E0,5.772056811E0
7.919900833E-1,1.436753564E0,-1.258936228E0,5.733129458E0,6.043008739E0
8.019180833E-1,1.018382361E0,-9.367360074E-1,5.695958709E0,5.861614333E0
8.118470833E-1,8.929408738E-1,-2.287613489E-1,5.513515640E0,5.590038450E0
8.217760834E-1,9.348683336E-1,4.417113150E-1,5.106633630E0,5.210258604E0
8.317050833E-1,8.174650142E-1,8.128274412E-1,4.434853456E0,4.582233372E0
8.416340833E-1,6.828510001E-1,1.025537745E0,3.613613187E0,3.817880750E0
8.515630833E-1,8.139806584E-1,1.323334830E0,3.217431582E0,3.572904361E0
8.614920833E-1,5.819838989E-1,1.756214437E0,3.699922183E0,4.136715916E0
8.714200833E-1,-5.879696935E-2,1.804976123E0,4.132197481E0,4.509595537E0
8.813490833E-1,-4.045191497E-1,1.365428935E0,4.023853253E0,4.268422064E0
8.912778750E-1,-6.504448539E-1,1.017055043E0,3.757147129E0,3.946344386E0
9.012068750E-1,-8.842554197E-1,9.075010255E-1,3.250064893E0,3.488321597E0
9.111358750E-1,-1.009456001E0,9.050894876E-1,2.523283469E0,2.864462928E0
9.210648750E-1,-9.230897024E-1,9.458722088E-1,1.747864906E0,2.191301112E0
9.309938750E-1,-3.628127146E-1,1.001216763E0,1.494122643E0,1.834794415E0
9.409218750E-1,2.255803174E-1,1.135067203E0,2.447299486E0,2.707127410E0
9.508508750E-1,5.420903930E-1,1.268740839E0,3.759695930E0,4.004856901E0
9.607798750E-1,5.976763639E-1,1.259514810E0,4.371921043E0,4.588822093E0
9.707088750E-1,3.214600360E-1,1.216122622E0,4.512315030E0,4.684365242E0
9.806378750E-1,-2.686766356E-2,1.129685426E0,4.840836164E0,4.970976343E0
9.905668750E-1,-1.801471594E-1,1.032805834E0,5.093322444E0,5.200103307E0
1.000495875E0,-1.988819307E-1,1.203680917E0,5.131226435E0,5.274266442E0
1.010423875E0,-8.242966086E-2,1.622125942E0,5.045851824E0,5.300821431E0
1.020352875E0,4.565798342E-3,2.027384764E0,4.886196524E0,5.290106454E0
1.030281875E0,1.361015457E-1,2.326108633E0,4.595426769E0,5.152402565E0
1.040210875E0,4.692934352E-1,2.473627744E0,4.290328411E0,4.974533991E0
1.050139875E0,9.160022923E-1,2.436428051E0,3.984525465E0,4.759378639E0
1.060068875E0,1.375563914E0,2.264957721E0,3.696868182E0,4.548521069E0
1.069997875E0,1.810901983E0,1.966812142E0,3.435323980E0,4.353064075E0
1.079926875E0,2.010678538E0,1.640508272E0,3.168096870E0,4.095233003E0
1.089854875E0,1.930129927E0,1.380365209E0,2.902108199E0,3.748738674E0
1.099783875E0,1.648162277E0,1.258301366E0,2.723705556E0,3.423205103E0
1.109712875E0,1.245015762E0,1.311187239E0,2.525539325E0,3.106062637E0
1.119641875E0,8.501904184E-1,1.438060125E0,2.242092623E0,2.796036480E0
1.129570875E0,4.971633115E-1,1.564360421E0,1.799581774E0,2.435752337E0
1.139499875E0,2.561343580E-1,1.660217920E0,1.242013509E0,2.089144779E0
1.149428875E0,5.083803177E-2,1.779739686E0,6.846422946E-1,1.907562038E0
1.159356875E0,-4.554279327E-2,1.920806834E0,1.602014297E-1,1.928013884E0
1.169285875E0,1.769042936E-1,1.804927737E0,2.956820011E-2,1.813817395E0
1.179214875E0,6.363934100E-1,1.113970303E0,2.535294235E-1,1.307747520E0
1.189143875E0,9.679217666E-1,3.026413572E-1,1.381036323E-1,1.023492526E0
1.199072875E0,9.490773600E-1,-2.544582537E-1,1.007943034E-1,9.877531725E-1
1.209001875E0,7.084591734E-1,-9.048007813E-1,3.559457445E-1,1.203027941E0
1.218930875E0,3.525327247E-1,-1.166292212E0,3.698960316E-1,1.273318468E0
1.228858875E0,4.296487284E-1,-9.628928688E-1,8.205923975E-2,1.057588968E0
1.238787875E0,5.589780289E-1,-6.136386779E-1,-2.695367610E-1,8.727307313E-1
1.248716875E0,5.912458885E-1,-1.708407310E-1,-6.057469833E-1,8.635320861E-1
1.258645875E0,6.456302565E-1,1.518423964E-1,-9.910399032E-1,1.192499321E0
