"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.916199999E-2,2.251250532E0,-1.908195340E-1,-3.055912592E-1,2.279896285E0
3.909099998E-2,1.278214790E0,2.719084283E-1,5.274697226E-1,1.409252125E0
4.902099998E-2,5.228837514E-1,7.688787451E-1,1.290724908E0,1.590771112E0
5.894999998E-2,-1.293228686E-1,1.283601245E0,1.916174669E0,2.309996088E0
6.887900000E-2,-4.520377171E-1,1.924038005E0,2.471778855E0,3.164798737E0
7.880799999E-2,-3.678857589E-1,2.670100330E0,3.040912328E0,4.063486617E0
8.873799999E-2,-1.253759980E-2,3.357182083E0,3.622781036E0,4.939167052E0
9.866699998E-2,3.656404281E-1,3.991890325E0,4.056902885E0,5.703274700E0
1.085960000E-1,6.477627361E-1,4.521455398E0,4.165916035E0,6.182071811E0
1.185250000E-1,6.864771509E-1,4.815836978E0,3.987418667E0,6.289916081E0
1.284540000E-1,3.935158592E-1,4.963564543E0,3.544083361E0,6.111657269E0
1.383840000E-1,2.988511920E-2,5.067220473E0,2.783369960E0,5.781415465E0
1.483130000E-1,-1.551558673E-1,4.978159193E0,2.005614265E0,5.369230007E0
1.582420000E-1,-2.995961273E-1,4.155523778E0,1.386229820E0,4.390873356E0
1.681710000E-1,-4.701430357E-1,2.706486676E0,1.180404175E0,2.989892743E0
1.781010000E-1,-9.526418227E-1,1.266077140E0,1.284612229E0,2.039780955E0
1.880300000E-1,-1.533875524E0,1.531403321E-1,1.454016591E0,2.119054112E0
1.979590000E-1,-1.841391705E0,-6.887178040E-1,1.463402396E0,2.450837040E0
2.078880000E-1,-1.974674892E0,-1.298289451E0,1.385816422E0,2.739595515E0
2.178180000E-1,-2.072733868E0,-1.692458444E0,1.264469009E0,2.959649160E0
2.277470000E-1,-2.258507511E0,-1.960303898E0,1.132733068E0,3.197926165E0
2.376760000E-1,-2.516100165E0,-2.137690587E0,8.868178888E-1,3.418614786E0
2.476050000E-1,-2.693971880E0,-2.245531078E0,6.509815552E-1,3.567025553E0
2.575350000E-1,-2.700844113E0,-2.355768050E0,5.454610205E-1,3.625152376E0
2.674640000E-1,-2.485550802E0,-2.144498793E0,4.813872313E-1,3.317916745E0
2.773930000E-1,-2.235146130E0,-1.740139272E0,3.251098680E-1,2.851255747E0
2.873220000E-1,-2.230833224E0,-1.205705589E0,1.247257511E-1,2.538877577E0
2.972520000E-1,-2.458513861E0,-4.287216158E-1,4.470817633E-3,2.495618684E0
3.071810000E-1,-2.589047104E0,3.961702393E-1,-9.316949766E-2,2.620838858E0
3.171100000E-1,-2.800704616E0,1.100904846E0,-1.721114771E-1,3.014226300E0
3.270390000E-1,-3.148736154E0,1.760596341E0,-6.385077631E-1,3.663595366E0
3.369680000E-1,-3.537022263E0,2.388934626E0,-1.670113310E0,4.583319060E0
3.468980000E-1,-3.196713728E0,2.644865501E0,-2.283253512E0,4.735772247E0
3.568270000E-1,-2.458281727E0,2.806601825E0,-2.675713949E0,4.591253423E0
3.667560000E-1,-1.912839417E0,2.815646591E0,-2.936620220E0,4.495615495E0
3.766850000E-1,-1.458907787E0,2.791321296E0,-3.034222528E0,4.373373168E0
3.866150000E-1,-9.664775044E-1,2.770189167E0,-2.969017303E0,4.174097571E0
3.965440000E-1,-3.643522865E-1,2.741294273E0,-2.846981235E0,3.968973297E0
4.064730000E-1,-5.782019198E-2,2.589965116E0,-2.686814888E0,3.732323234E0
4.164020000E-1,4.925519049E-2,2.350923047E0,-2.441783808E0,3.389922331E0
4.263320000E-1,1.560955149E-1,2.161453671E0,-2.096839600E0,3.015457526E0
4.362610000E-1,2.533873361E-1,2.080159394E0,-1.655216943E0,2.670395359E0
4.461900000E-1,4.448298544E-1,2.126905398E0,-1.170854648E0,2.468299167E0
4.561190000E-1,8.582800412E-1,2.234593568E0,-8.536420298E-1,2.541408617E0
4.660490000E-1,1.288059747E0,2.275050161E0,-6.915852785E-1,2.704300528E0
4.759780000E-1,1.746117758E0,2.236359428E0,-5.937660384E-1,2.898756427E0
4.859070000E-1,2.234415228E0,2.196881951E0,-5.214196086E-1,3.176598830E0
4.958360000E-1,2.534968545E0,2.080463887E0,-6.870115864E-1,3.350579119E0
5.057660000E-1,2.618529350E0,1.777902052E0,-1.141813867E0,3.364724442E0
5.156950000E-1,2.546920838E0,1.308275618E0,-1.802294297E0,3.383290644E0
5.256240000E-1,2.351087646E0,9.539787155E-1,-2.368367338E0,3.470857582E0
5.355530000E-1,2.022800401E0,8.424458543E-1,-2.619970688E0,3.415506242E0
5.454820000E-1,1.988294227E0,1.065039122E0,-2.441200840E0,3.323715362E0
5.554120000E-1,2.311234778E0,1.304600058E0,-1.996618908E0,3.321185718E0
5.653410000E-1,2.748590137E0,1.073051634E0,-1.450482534E0,3.287869695E0
5.752700000E-1,3.286036963E0,4.093673685E-1,-8.549962449E-1,3.420034963E0
5.851990000E-1,3.779098161E0,-2.417320812E-1,-1.702358365E-1,3.790646060E0
5.951290000E-1,3.953914706E0,-6.688807594E-1,7.369222498E-1,4.077241393E0
6.050580000E-1,3.540355176E0,-7.717754558E-1,1.713187993E0,4.008087478E0
6.149870000E-1,2.605201791E0,-6.802475274E-1,2.588723752E0,3.735144406E0
6.249160000E-1,1.429068861E0,-7.988565427E-1,3.057387443E0,3.468144685E0
6.348460000E-1,6.181378180E-1,-1.200196854E0,3.153758912E0,3.430562946E0
6.447750000E-1,1.677425838E-1,-1.726853229E0,2.770652851E0,3.269048312E0
6.547040000E-1,-1.272892070E-1,-2.294459847E0,2.202577139E0,3.183095127E0
6.646330000E-1,-2.624043274E-1,-2.878019425E0,1.740084600E0,3.373387949E0
6.745630000E-1,-3.050235128E-1,-3.556472734E0,1.434285747E0,3.846909572E0
6.844920000E-1,-1.661784536E-1,-4.078173886E0,1.196183617E0,4.253230862E0
6.944210000E-1,1.403998339E-1,-4.419145788E0,1.134675586E0,4.564652265E0
7.043500000E-1,6.310461313E-1,-4.619595650E0,1.467186860E0,4.887895301E0
7.142800000E-1,1.094281851E0,-4.392938860E0,2.172410184E0,5.021427148E0
7.242090000E-1,1.140506430E0,-3.165404519E0,3.144936633E0,4.605558285E0
7.341380000E-1,4.758756459E-1,-1.393983521E0,3.755086570E0,4.033648824E0
7.440670000E-1,-1.331089407E-1,-1.723238041E-1,4.092449863E0,4.098238569E0
7.539970000E-1,-6.191160572E-1,5.854715072E-1,4.173668858E0,4.259764467E0
7.639260000E-1,-1.190974917E0,1.134260361E0,3.893967297E0,4.227049696E0
7.738550000E-1,-1.763634846E0,1.480954129E0,3.252899623E0,3.985597692E0
7.837840000E-1,-2.095726290E0,1.701333641E0,2.430238481E0,3.632170688E0
7.937130000E-1,-2.238534007E0,1.837455651E0,1.466645408E0,3.246278873E0
8.036430000E-1,-2.292621921E0,2.055286654E0,9.112330109E-1,3.211022283E0
8.135720000E-1,-2.198505138E0,2.621977160E0,1.052890581E0,3.580051347E0
8.235010000E-1,-2.264037223E0,3.147399188E0,1.658921739E0,4.217108907E0
8.334300000E-1,-2.676312704E0,3.483382246E0,1.696533369E0,4.709015506E0
8.433600000E-1,-3.118963301E0,3.806816594E0,1.437083055E0,5.126889151E0
8.532889167E-1,-3.815659046E0,3.731388682E0,8.553049779E-1,5.405003428E0
8.632179167E-1,-4.284404597E0,3.180553778E0,1.259782612E-1,5.337407199E0
8.731469167E-1,-4.228276005E0,2.478364866E0,-2.102763999E-1,4.905591355E0
8.830769167E-1,-4.107473699E0,2.038764469E0,-3.134622145E-1,4.596320192E0
8.930059166E-1,-3.773662004E0,1.930988882E0,8.664404154E-3,4.239023244E0
9.029349167E-1,-3.535187992E0,1.736166674E0,4.493561840E-1,3.964057244E0
9.128639167E-1,-3.536491921E0,1.335938796E0,4.505724049E-1,3.807167328E0
9.227939167E-1,-3.674134208E0,7.787950382E-1,1.693610930E-1,3.759583364E0
9.327229167E-1,-3.514896399E0,9.656888612E-2,-1.921627490E-1,3.521469689E0
9.426519166E-1,-2.941592692E0,-9.086793125E-1,-1.143233717E0,3.284151183E0
9.525809167E-1,-2.056880313E0,-1.865680161E0,-3.089303885E0,4.153952043E0
9.625109167E-1,-1.629417858E0,-2.379253391E0,-3.771290374E0,4.747470941E0
9.724399167E-1,-1.836291763E0,-2.472249263E0,-3.713823938E0,4.824569629E0
9.823689167E-1,-1.950294342E0,-2.299908721E0,-3.545080311E0,4.654118881E0
9.922979166E-1,-1.426777337E0,-2.136005127E0,-3.322496692E0,4.199666146E0
1.002227917E0,-4.112691754E-1,-2.019416325E0,-3.056940715E0,3.686742622E0
1.012156917E0,5.192011750E-1,-1.810598513E0,-2.705211983E0,3.296362951E0
1.022085917E0,1.099487042E0,-1.683445546E0,-2.267587652E0,3.030645876E0
1.032014917E0,1.553983514E0,-1.903996089E0,-2.045379424E0,3.197443175E0
1.041944917E0,2.156518037E0,-2.491348608E0,-2.070506079E0,3.891578517E0
