"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.691667225E-4,-1.758918482E0,7.447662896E-1,2.119042793E0,2.852860566E0
1.039516670E-2,-1.062570646E0,-7.951400524E-1,1.280421091E0,1.844120997E0
2.042116667E-2,-1.813981712E-2,-2.357444739E0,6.702828486E-1,2.450949581E0
3.044816677E-2,1.816865559E0,-3.498007302E0,5.532392791E-1,3.980342855E0
4.047416674E-2,3.538183520E0,-4.433714418E0,5.745298684E-1,5.701460404E0
5.050016672E-2,4.311167303E0,-5.249882228E0,4.205761886E-1,6.806196534E0
6.052616669E-2,4.780543184E0,-5.882148088E0,3.264851332E-1,7.586820929E0
7.055316668E-2,5.523363521E0,-6.372962785E0,4.799887235E-1,8.447046136E0
8.057916677E-2,5.850156802E0,-6.921141007E0,4.279553747E-1,9.072467870E0
9.060516674E-2,6.009598678E0,-7.244749310E0,5.560935974E-1,9.429258132E0
1.006311667E-1,6.277467229E0,-7.246857816E0,6.162064826E-1,9.607458220E0
1.106571667E-1,6.656846275E0,-7.011824305E0,7.392484915E-1,9.696688648E0
1.206841667E-1,6.845092705E0,-6.883804781E0,7.825820605E-1,9.739327342E0
1.307101668E-1,6.678580960E0,-6.636850551E0,9.503947377E-1,9.463322833E0
1.407361667E-1,6.141108990E0,-6.266720631E0,1.015248545E0,8.832651737E0
1.507621667E-1,5.186641082E0,-5.668496675E0,8.897918558E-1,7.734651241E0
1.607891667E-1,4.229019771E0,-4.824551668E0,7.408948481E-1,6.458314966E0
1.708151667E-1,3.354803728E0,-3.813747007E0,7.612840891E-1,5.136042031E0
1.808411668E-1,2.186399063E0,-2.697584875E0,8.051007843E-1,3.564476440E0
1.908671667E-1,7.567068887E-1,-1.488955459E0,1.154084249E0,2.030148795E0
2.008941667E-1,-5.757191920E-1,-4.273092574E-1,1.831729766E0,1.967048480E0
2.109201667E-1,-1.253106846E0,3.447839946E-1,2.228727057E0,2.579995555E0
2.209461667E-1,-1.902124395E0,8.455740416E-1,2.269456422E0,3.079530017E0
2.309721668E-1,-2.042099136E0,8.226681590E-1,2.148373450E0,3.076111224E0
2.409981667E-1,-7.056139183E-1,5.794824600E-2,1.865699165E0,1.995515566E0
2.510251667E-1,1.117663697E0,-1.078109622E0,1.315258656E0,2.035042463E0
2.610511667E-1,2.269609035E0,-2.065528345E0,6.742172939E-1,3.141990050E0
2.710771668E-1,3.166545019E0,-2.625312120E0,3.541903738E-1,4.128525391E0
2.811031668E-1,3.813060544E0,-2.754491147E0,2.501368690E-1,4.710543561E0
2.911301667E-1,3.872026205E0,-2.499642591E0,5.072833800E-1,4.636608291E0
3.011561667E-1,3.306492278E0,-2.116423679E0,1.195753262E0,4.103896470E0
3.111821667E-1,2.294553841E0,-1.554093441E0,1.031461778E0,2.957041960E0
3.212081668E-1,7.853594148E-1,-8.204947490E-1,3.957956886E-1,1.202769833E0
3.312351668E-1,-6.696453559E-1,-4.119445288E-1,-3.848413686E-1,8.753434049E-1
3.412611667E-1,-9.437844604E-1,-1.630636418E-1,-1.418141146E0,1.711269461E0
3.512871667E-1,-1.011774715E0,2.646467346E-1,-1.945308129E0,2.208608087E0
3.613131667E-1,-2.016982421E0,9.213890398E-1,-2.437569427E0,3.295287630E0
3.713391668E-1,-2.844372792E0,1.931231834E0,-2.448516584E0,4.220822958E0
3.813661668E-1,-3.694363820E0,2.631469823E0,-9.132774898E-1,4.626773523E0
3.913921667E-1,-4.373515579E0,3.137995988E0,6.059352636E-1,5.416808552E0
4.014181667E-1,-4.476886750E0,3.523263765E0,1.115847552E-1,5.698100885E0
4.114441667E-1,-3.362196363E0,3.346077343E0,-1.776063103E0,5.065076319E0
4.214711668E-1,-1.992619413E0,3.004690581E0,-3.969638161E0,5.362529696E0
4.314971667E-1,-1.393735306E0,3.121725526E0,-5.659685506E0,6.612088051E0
4.415231667E-1,-1.514281504E0,4.116825736E0,-6.653276550E0,7.969152493E0
4.515491667E-1,-1.710422845E0,5.143347713E0,-6.796032227E0,8.692849132E0
4.615761667E-1,-2.121745815E0,6.020547005E0,-6.401790143E0,9.040559086E0
4.716021668E-1,-2.818210595E0,6.717246843E0,-5.559202275E0,9.163429818E0
4.816281667E-1,-3.061936576E0,6.947854012E0,-4.687101755E0,8.922838888E0
4.916541667E-1,-2.938384325E0,6.936372419E0,-4.008737908E0,8.533307939E0
5.016801667E-1,-2.353338239E0,6.852333312E0,-3.407977138E0,8.006683512E0
5.117072500E-1,-7.064290202E-1,7.123465194E0,-2.914660709E0,7.729039098E0
5.217332500E-1,-5.729423493E-1,6.705914354E0,-1.784055077E0,6.962786998E0
5.317592501E-1,-1.036379798E0,6.765856501E0,-1.568335212E0,7.022148718E0
5.417852501E-1,-2.490254302E0,7.073439340E0,-1.152523920E0,7.587043032E0
5.518122501E-1,-3.256467009E0,7.183277532E0,-6.826887399E-2,7.887250099E0
5.618382500E-1,-3.569860227E0,6.640931323E0,1.749574631E0,7.739953635E0
5.718642500E-1,-4.924267745E0,5.321084942E0,4.002018287E0,8.281214172E0
5.818902501E-1,-4.596115571E0,3.569766086E0,3.789247173E0,6.944487194E0
5.919162501E-1,-3.545028856E0,1.695894853E0,2.939608440E0,4.907604988E0
6.019432500E-1,-3.613128453E0,6.069947791E-1,1.923030237E0,4.137775389E0
