"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.013583318E-3,-9.949189460E-1,2.047633526E0,3.558532854E-1,2.304191469E0
1.204058330E-2,-1.126957262E0,1.501935108E0,5.538542600E-1,1.957701785E0
2.206758334E-2,-1.139794239E0,1.317154908E0,7.159962344E-1,1.883262745E0
3.209358332E-2,-8.358390123E-1,1.226392087E0,8.792569274E-1,1.725038304E0
4.212058330E-2,-3.778336269E-1,1.008887359E0,7.032972515E-1,1.286560911E0
5.214758334E-2,4.587707859E-1,5.177229989E-1,1.447736974E-1,7.067299067E-1
6.217358331E-2,1.479605761E0,-2.332945490E-1,-3.739977072E-1,1.543869761E0
7.220058329E-2,2.399917159E0,-1.147636524E0,-8.418246607E-1,2.790222343E0
8.222758333E-2,3.189506450E0,-1.925460048E0,-1.258873955E0,3.932570587E0
9.225358331E-2,3.766406195E0,-2.359306492E0,-1.449508388E0,4.674742486E0
1.022805833E-1,3.992535565E0,-2.570326073E0,-1.489837804E0,4.976598542E0
1.123075833E-1,3.874943966E0,-2.668880308E0,-1.407560609E0,4.911144439E0
1.223335833E-1,3.629300097E0,-2.729166856E0,-1.373399860E0,4.744090861E0
1.323605833E-1,3.414113790E0,-2.793300287E0,-1.450355065E0,4.643514755E0
1.423875833E-1,3.361823310E0,-2.821948720E0,-1.591340790E0,4.668791713E0
1.524135833E-1,3.327403091E0,-2.778934262E0,-1.770637325E0,4.682867017E0
1.624405833E-1,3.356573680E0,-2.712148535E0,-1.736170036E0,4.651518347E0
1.724665833E-1,3.417388816E0,-2.628733326E0,-1.716011175E0,4.640418038E0
1.824935833E-1,3.328492427E0,-2.433089583E0,-1.720891846E0,4.467690175E0
1.925205833E-1,3.067289702E0,-2.217544257E0,-1.629036473E0,4.120622342E0
2.025465833E-1,2.558528146E0,-1.890885462E0,-1.557143349E0,3.542062889E0
