Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.009729833,-0.161430514,-0.024899783,-0.201584514,0.259453515
0.019809833,-0.250184231,-0.088155254,-0.14504837,0.302328511
0.029890833,-0.102273064,-0.033690487,-0.260174784,0.281577248
0.039970833,-0.091515942,0.025744121,-0.238321985,0.256583896
0.050050833,-0.339986939,0.022148522,0.068477327,0.347520963
0.060131833,-0.311526786,0.03174278,-0.007873276,0.313238776
0.070211833,-0.067596737,0.028940209,0.207088498,0.219755547
0.080291833,0.162032193,-0.040936942,-0.165268042,0.235039976
0.090372833,0.215988545,-0.18085438,-0.886158981,0.929858644
0.100452833,0.224566995,-0.096237568,-0.863932545,0.897814817
0.110533833,0.304580294,0.016526863,-0.266050651,0.40475331
0.120613833,0.482138599,0.030730773,-0.229752306,0.534965542
0.130693833,0.680466798,0.167610875,-0.191541921,0.726509997
0.140774833,0.488783959,0.259160292,0.51977888,0.759107304
0.150854833,0.104735911,0.197597151,0.207659186,0.305182868
0.160934833,0.030117254,0.203089002,-0.026592552,0.207025012
0.171015833,0.03632992,0.263185515,0.028685271,0.26722523
0.181095833,0.084264809,0.250344007,-0.154937181,0.306232281
0.191175833,0.364024258,0.102587791,-0.243901398,0.450028674
0.201256833,0.589409863,0.013896785,-0.089726109,0.596362207
0.211336833,0.436832618,0.466896808,-0.845272325,1.059858797
0.221417833,0.120018779,0.047437437,-0.805203695,0.815480109
0.231497833,0.399358982,-0.164361139,-0.276092659,0.512571299
0.241577833,0.646873375,-0.054125044,-0.43772081,0.782926683
0.251658833,0.503479182,-0.20673708,-0.489680922,0.732133124
0.261738833,0.22261461,-0.365676096,-0.292853703,0.518690238
0.271818833,0.10197661,-0.398928919,-0.266593857,0.49052604
0.281899833,0.165370953,-0.397020388,-0.396587402,0.585025049
0.291979833,0.125608717,-0.520493117,-0.389380124,0.662047971
0.302059833,0.175602996,-0.552765508,-0.338796446,0.671691262
0.312140833,-0.194957864,-0.722714685,-1.012470533,1.259135285
0.322220833,-0.343162562,-0.870696896,-1.173461337,1.500961405
0.332301833,-0.106584801,-0.735090171,-0.922625141,1.184464027
0.342381833,-0.05600814,-0.770843702,-1.138176899,1.375784713
0.352461833,-0.205797433,-0.854113608,-1.336598069,1.599486491
0.362542833,-0.490803003,-0.709268867,-1.283972543,1.546782275
0.372622833,-0.709273106,-0.631778495,-1.108253188,1.459601841
0.382702833,-0.600969808,-0.777312477,-0.814897209,1.276493971
0.392783833,-0.405055924,-0.782112895,-0.616966036,1.07536876
0.402863833,-0.4145366,-0.667163067,-0.589749586,0.982217758
0.412943833,-0.619431807,-0.594141722,-0.61344075,1.05499275
0.423024833,-0.871512875,-0.64242759,-0.612417487,1.243906378
0.433104833,-0.976839355,-0.456590944,-0.463176663,1.173551463
0.443184833,-1.019036372,-0.278910871,-0.285292084,1.094357334
0.453265833,-0.992352603,-0.352361694,0.068977264,1.05531053
0.463345833,-0.73485292,-0.429796955,0.384119968,0.933960592
0.473426833,-0.756175377,0.022812473,0.378390867,0.845873074
0.483506833,-1.22607049,-0.106033555,-0.331912519,1.274620682
0.493586833,-1.834357504,-0.002445159,-0.202793133,1.845534743
0.503667833,-1.184440654,0.314649784,0.410053539,1.292303391
0.513747833,-0.934539428,0.453610326,-0.350494385,1.096345103
0.523824833,-1.334966111,0.542916312,-1.0159315,1.763238343
0.533905833,-0.918280075,0.372468076,-0.513375009,1.116030763
0.543985833,-0.002334208,0.050260912,0.066585753,0.083458195
0.554065833,0.964690011,-0.300135533,0.336426569,1.064843177
0.564146833,2.058193012,-0.700845514,0.854557704,2.336153201
0.574226833,2.932134236,-1.115514699,1.417518856,3.442549045
0.584307833,3.387078604,-1.563278248,2.048912312,4.256075894
0.594387833,3.57482919,-1.641285367,2.736103408,4.791605499
0.604467833,3.84485244,-1.697762307,3.233021721,5.302614127
0.614548833,4.145882889,-1.940217251,3.771279849,5.930880171
0.624628833,4.267989124,-2.02271357,4.310707712,6.394474359
0.634708833,4.482911137,-1.862529097,4.404417529,6.554723539
0.644789833,4.852424176,-1.671680656,4.074051014,6.552742041
0.654869833,5.082464749,-1.637328556,3.743868979,6.521414544
0.664949833,5.081070773,-1.50725052,3.37741608,6.2845862
0.675030833,4.889982011,-1.223243069,2.879533561,5.805166768
0.685110833,4.682678336,-0.834245646,2.291807112,5.279755869
0.695190833,4.004676139,-0.314708987,1.904962926,4.445824611
0.705271833,2.574410938,0.195142344,1.512028864,2.991973178
0.715351833,1.011687591,0.55347346,0.936625714,1.485635346
0.725432833,-0.317155316,0.924547998,0.348069545,1.037559108
0.735512833,-1.487204803,1.273498865,-0.297788461,1.980468493
0.745592833,-2.491107411,1.529949703,-1.181794496,3.153252362
0.755673833,-3.437114983,1.843570377,-2.01624041,4.390641927
0.765753833,-4.337618353,2.329848658,-2.771449534,5.650138075
0.775833833,-5.237807143,2.795120525,-3.5006672,6.892168981
0.785914833,-5.986985157,3.226282513,-4.264397179,8.027326667
0.795994833,-6.317804246,3.548672256,-4.7026457,8.638437466
0.806074833,-6.381552345,3.692535396,-4.733862815,8.761762673
0.816155833,-6.770506207,3.892420124,-5.403269312,9.496631402
0.826235833,-7.2075885,4.09625757,-5.916575325,10.18501456
0.836316833,-7.322979793,4.057515673,-5.512228668,10.02367853
0.846396833,-7.268642787,3.883489087,-4.925933032,9.601014097
0.856476833,-7.327987933,3.862925014,-4.833265189,9.590727251
0.866557833,-7.159126192,3.831934771,-4.577756775,9.321623733
0.876637833,-6.624376686,3.625535367,-3.879705938,8.489934708
0.886717833,-5.941257591,3.416883032,-3.0953195,7.520281526
0.896798833,-4.810662192,2.923996374,-2.109635062,6.011887026
0.906878833,-3.000288797,1.793066221,-0.52238323,3.534077472
0.916958833,-0.007240022,-0.018029597,1.555654648,1.55577597
0.927039833,4.056880081,-2.334774791,3.780610836,6.016848644
0.937119833,8.275973033,-4.610897332,5.800091772,11.10824777
0.947200833,11.22352696,-6.150020732,6.921419334,14.54978894
0.957280833,12.57601718,-7.010294673,7.324863181,16.15407255
0.967360833,13.3327381,-7.8569294,8.412396176,17.61424578
0.977441833,14.00322546,-8.438994575,10.13151032,19.23420011
0.987521833,14.32900424,-8.392757133,10.68599594,19.74713255
0.997601833,13.83180497,-7.538615166,9.925937423,18.61917778
1.007682833,12.65806648,-6.381103279,8.940289822,16.75929319
1.017762833,10.9836999,-5.299992281,7.688197467,14.41665572
