"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.166583336E-2,-3.753669205E0,1.145168122E0,-1.045817906E1,1.117027089E1
2.174483333E-2,-3.977296552E0,8.901773335E-1,-1.043383944E1,1.120162082E1
3.182383336E-2,-4.376642962E0,7.637001586E-1,-1.000014911E1,1.094263331E1
4.190183332E-2,-4.629379796E0,7.881668092E-1,-9.141757391E0,1.027735824E1
5.197983334E-2,-4.481193225E0,7.300321832E-1,-8.436666799E0,9.580782138E0
6.205883337E-2,-4.306131389E0,4.907275736E-1,-8.153908898E0,9.234165442E0
7.213783334E-2,-4.306496255E0,2.703112248E-1,-7.999022003E0,9.088637475E0
8.221583336E-2,-4.356049946E0,2.245048682E-1,-7.768586742E0,8.909349782E0
9.229483333E-2,-4.389414158E0,2.538814259E-1,-7.457433593E0,8.657062333E0
1.023728334E-1,-4.442565933E0,2.107937323E-1,-7.056602867E0,8.341251111E0
1.124518333E-1,-4.476313723E0,1.233929148E-1,-6.623369796E0,7.995100863E0
1.225298333E-1,-4.191368672E0,-6.851124108E-2,-6.334567044E0,7.595986096E0
1.326088333E-1,-3.686907451E0,-2.221813309E-1,-6.113844008E0,7.142950346E0
1.426868333E-1,-3.170843307E0,-4.652711356E-1,-5.941582696E0,6.750787320E0
1.527658334E-1,-2.823968056E0,-6.622269934E-1,-5.392710995E0,6.123289316E0
1.628438333E-1,-2.478039176E0,-5.006941527E-1,-4.693182859E0,5.330791512E0
1.729228334E-1,-1.535943099E0,-3.188551015E-1,-4.122399886E0,4.410778911E0
1.830008333E-1,3.213851917E-1,-3.166545019E-1,-2.827829264E0,2.863595094E0
1.930798333E-1,2.512975997E0,-1.839881954E-1,-3.786265093E-1,2.547990984E0
2.031578334E-1,4.597020135E0,6.281757331E-1,2.835334166E0,5.437491950E0
2.132368333E-1,6.125779345E0,2.049860145E0,7.230125424E0,9.695453205E0
2.233148334E-1,6.876558326E0,3.703964071E0,1.208357520E1,1.438816159E1
2.333938333E-1,8.409718736E0,4.412618834E0,1.688107531E1,1.936918372E1
2.434718334E-1,1.200224394E1,3.309412962E0,2.161327372E1,2.494272789E1
2.535508333E-1,1.718622746E1,4.655883470E-1,2.542772590E1,3.069450164E1
2.636288333E-1,2.170087436E1,-3.314672240E0,2.717222398E1,3.493200189E1
2.737078333E-1,2.275991504E1,-5.632691250E0,2.641744199E1,3.532169567E1
