"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.546979167E-2,-2.602378170E0,-2.318633699E0,-5.704441264E-1,3.531832509E0
3.554779169E-2,-2.278359393E0,-2.486839236E0,-3.414899656E-1,3.389971431E0
4.562579171E-2,-2.147377669E0,-2.507988907E0,-3.670300189E-1,3.322040073E0
5.570279167E-2,-2.306569285E0,-2.422499398E0,-2.709567574E-1,3.355917574E0
6.578079169E-2,-2.338224941E0,-2.304825353E0,1.208897218E-1,3.285442148E0
7.585879171E-2,-2.096532621E0,-2.389633369E0,4.120328218E-1,3.205552638E0
8.593679167E-2,-1.531636040E0,-2.719655190E0,5.784738153E-1,3.174439363E0
9.601479169E-2,-8.410319245E-1,-3.222523338E0,8.954838279E-1,3.448750882E0
1.060927917E-1,-1.503547186E-1,-3.428410233E0,1.207989146E0,3.638109542E0
1.161697917E-1,5.691264564E-1,-3.334960617E0,1.505424142E0,3.702994611E0
1.262477917E-1,1.279750269E0,-3.253549249E0,1.917345574E0,3.987424923E0
1.363257917E-1,1.706001765E0,-3.196399148E0,2.299888549E0,4.291491217E0
1.464037917E-1,1.828238978E0,-3.221014171E0,2.426664078E0,4.427876308E0
1.564817917E-1,1.732008426E0,-3.092915710E0,2.414335808E0,4.288939049E0
1.665597917E-1,1.664508169E0,-2.880197805E0,2.230465727E0,4.005134729E0
1.766377917E-1,1.562002385E0,-2.886072795E0,2.010300808E0,3.848451243E0
1.867147917E-1,1.402043030E0,-2.862406774E0,1.776764184E0,3.649107859E0
1.967927917E-1,1.359754797E0,-2.829409767E0,1.390417304E0,3.433329727E0
2.068707917E-1,1.281837725E0,-2.441106262E0,9.283600903E-1,2.909288606E0
2.169487917E-1,8.119028503E-1,-2.262610941E0,3.828724650E-1,2.434170461E0
2.270267917E-1,5.327754861E-1,-2.154945720E0,-1.330066144E-1,2.223810139E0
2.371047917E-1,3.612082386E-1,-1.924304492E0,-6.394067726E-1,2.059674778E0
2.471827917E-1,2.395592558E-1,-1.658074185E0,-1.316598253E0,2.130734521E0
2.572597917E-1,4.701775342E-1,-1.287726456E0,-1.681266873E0,2.169323544E0
2.673377917E-1,7.052712715E-1,-1.101302164E0,-1.779329065E0,2.208231407E0
2.774157917E-1,4.412209529E-1,-1.168549676E0,-1.594167919E0,2.025229771E0
2.874937917E-1,-4.796295583E-2,-1.237880404E0,-1.293970113E0,1.791370144E0
2.975717917E-1,-8.449700242E-1,-1.421275107E0,-9.776006627E-1,1.920859268E0
3.076497917E-1,-1.687670744E0,-1.752178689E0,-8.908578032E-1,2.590750919E0
3.177277917E-1,-1.594783630E0,-1.931664821E0,-1.348335770E0,2.844762407E0
3.278047917E-1,-9.068581241E-1,-2.139150637E0,-1.441107109E0,2.734071470E0
3.378827917E-1,5.279451013E-2,-2.315784497E0,-8.396508121E-1,2.463870650E0
3.479607917E-1,2.641701865E-1,-2.528400075E0,-3.628442895E-1,2.567926947E0
3.580387917E-1,-2.022323853E-1,-2.447956275E0,-3.761005121E-1,2.484922425E0
3.681167917E-1,-7.077504909E-1,-2.053375784E0,-5.159857911E-1,2.232376358E0
3.781947917E-1,-1.101236529E0,-1.638135618E0,-4.765879829E-1,2.030602448E0
3.882727917E-1,-1.173264286E0,-1.317447561E0,-2.921970606E-1,1.788182396E0
3.983497917E-1,-1.318623728E0,-1.961461062E0,-3.862582952E-1,2.394847282E0
4.084277917E-1,-1.506607618E0,-1.066512693E0,-5.224808782E-1,1.918411350E0
4.185057917E-1,-1.960790094E0,-6.783135608E-2,-4.524961388E-1,2.013467567E0
4.285837917E-1,-2.598890891E0,1.371347487E-2,-8.420557719E-1,2.731937014E0
4.386617917E-1,-2.695916079E0,2.652403732E-1,-8.583474304E-1,2.841667868E0
4.487397917E-1,-2.590680816E0,4.348450027E-1,-7.023367001E-1,2.719189972E0
4.588177917E-1,-2.542061802E0,6.024156784E-1,-8.678871627E-1,2.752855060E0
4.688947917E-1,-2.496599700E0,9.967852311E-1,-7.776944460E-1,2.798463777E0
4.789727917E-1,-2.368701214E0,1.240838511E0,-6.782518727E-1,2.758704633E0
4.890507917E-1,-2.278826585E0,1.301561407E0,-5.385819174E-1,2.679026537E0
4.991287917E-1,-2.185761716E0,1.265550744E0,-7.784528299E-1,2.642945663E0
5.092067917E-1,-1.942740909E0,1.369805869E0,-4.896364832E-1,2.427005200E0
5.192847917E-1,-1.760345203E0,1.496656534E0,-2.793402028E-1,2.327407778E0
5.293627917E-1,-1.466286389E0,1.607596926E0,-3.817968696E-1,2.209102193E0
5.394397917E-1,-1.178494620E0,1.656397350E0,-3.515002526E-1,2.063020644E0
5.495177917E-1,-8.267933697E-1,1.750808686E0,-3.247982115E-2,1.936484772E0
5.595957917E-1,-5.016735613E-1,1.738354848E0,-1.156205034E-1,1.812987049E0
5.696737917E-1,-2.083707923E-1,1.808883378E0,-8.209958553E-2,1.822695204E0
5.797517917E-1,-3.881557167E-2,1.860200443E0,-3.968929186E-2,1.861028634E0
5.898297917E-1,7.900056124E-2,1.997731633E0,-6.510056019E-2,2.000352681E0
5.999077917E-1,1.546904290E-1,2.105125104E0,-6.440123320E-3,2.110810818E0
6.099847917E-1,3.370989990E-1,2.119920606E0,4.364975721E-2,2.146998932E0
6.200627917E-1,7.720382881E-1,2.017465694E0,-8.384629503E-2,2.161768060E0
6.301407917E-1,1.298284773E0,1.808579762E0,8.227295548E-2,2.227840422E0
6.402187917E-1,1.760078570E0,1.661720216E0,9.612764060E-2,2.422484504E0
6.502967917E-1,2.216587653E0,1.389380885E0,2.494524524E-2,2.616154110E0
6.603747917E-1,2.485252594E0,1.344506721E0,6.859763369E-2,2.826461465E0
