"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.284999995E-3,-1.782655839E0,3.368945804E0,1.101537076E0,3.967498153E0
1.236199995E-2,-1.823048404E0,2.966664383E0,1.106393774E0,3.653588678E0
2.243999997E-2,-1.575519978E0,3.070688689E0,1.340345403E0,3.702420563E0
3.251799999E-2,-1.975734408E0,2.652829117E0,8.030193217E-1,3.403802110E0
4.259500001E-2,-7.546741042E-1,2.804736271E0,9.174256508E-1,3.045939654E0
5.267299997E-2,4.607582545E-1,2.769340151E0,8.873382179E-1,2.944301641E0
6.275099999E-2,1.484576479E0,2.318751959E0,5.822142792E-1,2.814169759E0
7.282800000E-2,2.064212721E0,1.621756251E0,2.621543589E-1,2.638141847E0
8.290599997E-2,2.225761934E0,1.217112556E0,1.796571627E-1,2.543158638E0
9.298399999E-2,2.294100975E0,1.128970458E0,7.235213086E-1,2.657246067E0
1.030620000E-1,2.072566053E0,1.406567606E0,1.127268333E0,2.746761069E0
1.131390000E-1,1.517553314E0,1.973330618E0,8.166972747E-1,2.619922942E0
1.232170000E-1,1.740622252E0,1.543447416E0,4.758999118E-1,2.374547636E0
1.332949999E-1,2.657004029E0,5.124108034E-1,5.962382412E-1,2.770872657E0
1.433720000E-1,2.374252999E0,-6.497595602E-1,2.775265427E-1,2.477152755E0
1.534500000E-1,1.392685731E0,-1.777834809E0,-1.940015522E-1,2.266695118E0
1.635280000E-1,2.267636476E0,-1.412985510E0,-1.839993051E-1,2.678163360E0
1.736060000E-1,2.677451742E0,-1.411572238E0,-7.764006034E-1,3.124753096E0
1.836830000E-1,3.208274550E0,-2.182805949E0,-1.563665333E-1,3.883570251E0
1.937610000E-1,3.483689809E0,-2.824545468E0,-3.051694009E-1,4.495250844E0
2.038390000E-1,3.487371216E0,-2.985308231E0,-8.554526201E-1,4.669649068E0
2.139160000E-1,3.684606864E0,-2.287834221E0,-1.113014283E0,4.477646029E0
2.239940000E-1,3.517114248E0,-1.466381698E0,-1.937403570E0,4.274798301E0
2.340720000E-1,3.531970854E0,-1.001265514E0,-2.042862782E0,4.201266367E0
2.441490000E-1,3.846899842E0,-1.281344220E0,-1.423631243E0,4.297348871E0
2.542270000E-1,3.397977814E0,-2.167773342E0,-7.159167123E-1,4.093657439E0
2.643050000E-1,1.867631231E0,-3.272726946E0,1.761019094E-1,3.772240709E0
2.743820000E-1,4.658000162E-1,-3.954911072E0,1.224251422E0,4.166183239E0
2.844600000E-1,-4.542614132E-1,-3.562965190E0,1.870068204E0,4.049472739E0
2.945380000E-1,-1.960406955E0,-3.841274529E0,2.404188404E0,4.937479855E0
3.046160000E-1,-2.468544760E0,-3.197332948E0,2.590541359E0,4.798703548E0
3.146930000E-1,-3.157532997E0,-2.399075160E0,2.156282686E0,4.513882063E0
3.247710000E-1,-3.953294024E0,-1.928167893E0,1.277166677E0,4.580122246E0
3.348490000E-1,-5.109040929E0,-2.020782527E0,4.359406248E-1,5.511434066E0
3.449260000E-1,-6.400301442E0,-1.882966577E0,-3.898581335E-1,6.682919351E0
3.550040000E-1,-7.064131742E0,-1.332189268E0,-1.215901305E0,7.290754522E0
3.650820000E-1,-6.884682448E0,-1.770308858E-1,-2.241073891E0,7.242417036E0
3.751590000E-1,-5.356695070E0,1.526386410E-1,-3.187165225E0,6.235022277E0
3.852370000E-1,-2.692169183E0,-1.828003335E-1,-2.837245620E0,3.915501703E0
3.953150000E-1,-5.443651061E-1,-5.157191581E-1,-1.742954268E0,1.897416454E0
4.053930000E-1,7.407689868E-1,-1.210901644E0,-1.115407695E0,1.805313216E0
4.154699999E-1,1.326128191E0,-1.617651506E0,-7.570295088E-1,2.224523781E0
