"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.440458343E-3,-1.318234304E0,5.134426031E0,3.572471008E0,6.392387774E0
1.751945831E-2,-5.516234010E-1,9.722268376E0,-2.848595066E0,1.014599845E1
2.759845834E-2,-2.632124126E0,6.193374912E0,-5.945846486E0,8.979925426E0
3.767745831E-2,-3.214255959E0,1.767288771E0,-2.078244577E0,4.215904588E0
4.775645834E-2,-8.021391696E-1,3.631399248E0,1.489933844E0,4.006293874E0
5.783545831E-2,1.701925671E-1,2.069329619E-3,6.046438476E0,6.048833609E0
6.791445834E-2,4.024132749E0,-6.149315557E0,9.575030808E0,1.207016741E1
7.799345831E-2,4.736634103E0,-1.584512411E1,2.614932844E1,3.094012021E1
8.807245834E-2,-6.858614391E-1,-1.938766790E1,2.611817448E1,3.253476772E1
9.815045836E-2,-5.249312124E0,-1.471807564E1,1.446183778E1,2.129135459E1
1.082294583E-1,-6.125203394E0,-8.790204660E0,1.120520530E1,1.550298166E1
1.183084584E-1,-7.749461669E0,-5.993114208E0,1.099860796E1,1.472891548E1
1.283874583E-1,-7.458750971E0,1.256519281E0,1.891091868E-2,7.563872313E0
1.384664584E-1,-4.459908190E0,9.336742737E0,-1.721066181E1,2.008164400E1
1.485454583E-1,7.212811233E0,3.166647111E1,-8.597959903E0,3.359635327E1
1.586244584E-1,9.082319859E0,2.172115952E1,3.941421691E-1,2.354681832E1
1.687034583E-1,-2.271601181E0,-8.422200787E0,3.878514276E0,9.546544454E0
1.787824584E-1,1.362025271E0,-1.507133283E0,9.461331700E0,9.676949990E0
1.888614583E-1,4.214718651E0,2.759440230E0,8.528775648E0,9.905472111E0
1.989404584E-1,-7.815154552E-2,-3.893006015E-1,6.520991482E0,6.533069150E0
2.090194583E-1,6.809611800E-1,-2.367188539E0,6.618885566E0,7.062360501E0
2.190974584E-1,2.117044946E0,-8.477597308E-1,5.199813105E0,5.677907378E0
2.291764583E-1,1.661518195E0,-2.421800948E0,2.931519694E0,4.149647004E0
