"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.940095833E-2,3.737285891E-1,-8.537022561E-2,1.615807294E0,1.660660816E0
3.932995832E-2,2.211780218E-1,-1.591465920E-1,1.687533919E0,1.709391144E0
4.925995832E-2,1.196922851E-1,-1.497042158E-1,1.297066213E0,1.311151539E0
5.918895833E-2,3.315049678E-2,-1.562256154E-1,7.511660671E-1,7.679556359E-1
6.911795832E-2,9.835893810E-3,-1.351370475E-1,3.408365393E-1,3.667810149E-1
7.904795832E-2,3.645431980E-2,-7.662863821E-2,9.020382643E-2,1.238450481E-1
8.897695833E-2,3.666489266E-2,1.032033563E-3,-3.901730061E-2,5.355118293E-2
9.890595832E-2,8.614812456E-2,8.534303606E-2,-1.323797929E-1,1.795253262E-1
1.088349583E-1,2.039134598E-1,1.734716856E-1,-2.483213085E-1,3.651528407E-1
1.187649583E-1,3.255601037E-1,2.103237623E-1,-4.185951519E-1,5.704799447E-1
1.286939583E-1,3.554420069E-1,2.670408770E-1,-6.086302453E-1,7.537112350E-1
1.386229583E-1,2.995539542E-1,3.450517970E-1,-7.086667496E-1,8.432092718E-1
1.485529583E-1,2.822643954E-1,3.834586483E-1,-6.554313594E-1,8.101259104E-1
1.584819583E-1,2.079071812E-1,3.583925119E-1,-5.965972602E-1,7.263600206E-1
1.684109583E-1,5.708929002E-2,2.630434281E-1,-6.175232756E-1,6.736364212E-1
1.783399583E-1,-7.281501107E-2,2.255200911E-1,-6.678011441E-1,7.086040540E-1
1.882699583E-1,-1.335308904E-1,2.360424480E-1,-6.480165052E-1,7.024755704E-1
1.981982083E-1,7.871740982E-3,2.163469791E-1,-6.932868183E-1,7.263019978E-1
2.081272083E-1,2.400372657E-1,7.297646731E-2,-6.714527303E-1,7.167930125E-1
2.180572083E-1,3.652982198E-2,-9.517366737E-2,-7.042409921E-1,7.115812180E-1
2.279862083E-1,-2.507578433E-2,-9.989938706E-2,-1.178869427E0,1.183360388E0
2.379152083E-1,2.027280830E-2,-3.550429344E-2,-1.639244689E0,1.639754461E0
2.478452083E-1,1.182659007E0,3.285521239E-2,-1.759120211E0,2.119968327E0
2.577742083E-1,9.462692347E-1,-3.201292098E-2,-1.248493393E0,1.566903330E0
2.677032083E-1,-1.755264338E-1,-2.310919029E-1,-1.434738906E0,1.463792583E0
2.776322083E-1,-8.141858956E-1,-1.716149023E-1,-1.162964416E0,1.429977825E0
2.875622083E-1,-1.115934237E0,-1.143937576E-1,-4.851697952E-1,1.222204927E0
2.974912083E-1,-2.737221980E-1,-4.867312941E-1,-5.083072275E-1,7.551208061E-1
3.074202083E-1,1.009553650E0,-1.143798704E0,-1.114715531E0,1.889461501E0
3.173502083E-1,1.701313029E0,-1.724788138E0,-1.529821649E0,2.865259922E0
3.272792083E-1,1.511049602E0,-2.333565002E0,-1.596281687E0,3.205762272E0
3.372082083E-1,8.554539357E-1,-2.602824313E0,-1.344017016E0,3.051700769E0
3.471372083E-1,4.333973783E-1,-3.347616915E0,-2.720399541E-1,3.386499378E0
3.570672083E-1,4.923740034E-1,-2.608650186E0,-1.409637394E0,3.005755402E0
3.669962083E-1,1.352592981E0,-1.072394042E0,-3.142050447E0,3.584971097E0
3.769252083E-1,4.218113836E0,1.241894372E0,-2.105223337E0,4.875115513E0
3.868552083E-1,4.357966956E0,1.579145106E0,5.615665913E-2,4.635593686E0
3.967842083E-1,1.002884389E0,-1.065092551E0,-3.591997200E-1,1.506394263E0
4.067132083E-1,1.438349854E0,-3.047232291E0,-2.579327277E0,4.243513183E0
4.166422083E-1,2.566745823E0,-3.241212793E0,-4.275145531E0,5.947311477E0
4.265722083E-1,2.636129761E0,-2.906058578E0,-5.986947150E0,7.158064875E0
4.365012083E-1,4.003669834E0,-2.304077932E0,-7.795274019E0,9.061150274E0
4.464302083E-1,4.732759446E0,-1.768096564E0,-8.360498629E0,9.768475559E0
4.563602083E-1,-6.576589732E0,-1.070928218E0,-9.403868773E0,1.152524046E1
4.662892083E-1,-1.944478584E1,-5.403596172E-1,-1.005369090E1,2.189676656E1
4.762182083E-1,1.959178309E0,-4.997334552E0,-7.101084976E0,8.901524594E0
4.861472083E-1,2.919763282E0,-4.176423773E0,-6.202372023E0,8.027263037E0
4.960772083E-1,1.031670451E0,-2.721301181E0,-3.407898785E0,4.481472768E0
5.060062083E-1,1.301757727E0,-3.467400051E0,-2.554402351E0,4.499156328E0
5.159352083E-1,1.478605010E0,-3.933862265E0,-3.873276340E0,5.715226566E0
5.258652083E-1,1.241029715E0,-3.294103197E0,-4.185511224E0,5.468982980E0
5.357942083E-1,4.532214859E-1,-2.604082926E0,-4.854571858E0,5.527524358E0
5.457232083E-1,1.520673680E-1,-1.891236295E0,-5.903834826E0,6.201222852E0
5.556522083E-1,2.269085124E-1,-1.132971927E0,-6.372390928E0,6.476301336E0
5.655822083E-1,8.861139572E-1,-3.089613202E-1,-6.259531479E0,6.329485713E0
5.755112083E-1,1.522151856E0,4.802367917E-1,-5.374834887E0,5.606819394E0
5.854402083E-1,1.595163115E0,5.897840846E-1,-4.485343578E0,4.796946700E0
5.953702083E-1,1.473460922E0,-3.389886729E-1,-3.736179598E0,4.030513416E0
6.052992083E-1,1.590786474E0,-1.795896566E0,-2.883331035E0,3.750925745E0
6.152282083E-1,1.406917854E0,-2.832182224E0,-2.508023406E0,4.036193182E0
6.251582083E-1,1.823223236E0,-3.382747571E0,-2.029856821E0,4.345968570E0
6.350872083E-1,2.417186911E0,-3.690885311E0,-1.277292100E0,4.593136407E0
6.450162083E-1,4.133016091E0,-4.414878783E0,-3.529087007E-2,6.047662534E0
6.549452083E-1,6.787578322E0,-5.056782024E0,1.055761564E0,8.529765319E0
6.648752083E-1,1.040575058E1,-5.459249386E0,2.832898216E0,1.208752917E1
6.748042083E-1,1.340654750E1,-5.863743392E0,6.308389644E0,1.593470371E1
6.847332083E-1,1.475584397E1,-5.872967960E0,1.058200087E1,1.908416690E1
6.946632083E-1,1.579556779E1,-5.788879736E0,1.397220364E1,2.186855196E1
7.045922083E-1,1.632585997E1,-5.696092025E0,1.547425627E1,2.320413272E1
7.145212083E-1,1.642452822E1,-6.037613858E0,1.466788314E1,2.283341201E1
7.244502083E-1,1.531179256E1,-7.038840780E0,1.314886773E1,2.137496183E1
7.343802083E-1,1.358865903E1,-7.530756508E0,1.188991893E1,1.956359170E1
7.443092083E-1,1.221568134E1,-7.226309531E0,1.104642649E1,1.798515939E1
7.542382083E-1,1.178619985E1,-6.102434337E0,1.025812827E1,1.677448679E1
7.641682083E-1,1.212145113E1,-4.739594841E0,8.752502983E0,1.568437583E1
7.740972083E-1,1.230647808E1,-3.528541462E0,6.812333679E0,1.450199633E1
7.840262083E-1,1.201273969E1,-2.294137812E0,5.044774767E0,1.322946468E1
7.939552083E-1,1.027785911E1,-1.394329091E0,3.844279997E0,1.106151121E1
8.038852083E-1,7.113101004E0,-1.202071471E0,3.579534445E0,8.053213554E0
8.138142083E-1,3.108952868E0,-8.256914619E-1,4.523953913E0,5.550992103E0
8.237432083E-1,1.685477453E-1,4.237307614E-1,5.432911187E0,5.452016147E0
8.336732083E-1,-1.436665564E0,2.021530386E0,6.150676789E0,6.631848762E0
8.436022083E-1,-2.879059644E0,3.583357939E0,6.482394596E0,7.946752686E0
8.535312083E-1,-4.556847425E0,5.092666386E0,6.130385782E0,9.180508657E0
8.634602083E-1,-6.685387704E0,6.290746840E0,5.595124644E0,1.075050345E1
8.733902083E-1,-9.006219517E0,6.977119911E0,4.443181061E0,1.222841160E1
8.833192083E-1,-1.076220854E1,6.939761465E0,1.603053932E0,1.290562683E1
8.932482083E-1,-1.181216148E1,6.353568156E0,9.273181164E-1,1.344451212E1
9.031782083E-1,-1.147105480E1,5.112193748E0,2.799015355E0,1.286678321E1
9.131072083E-1,-1.091923669E1,3.451185430E0,2.043061588E0,1.163247658E1
9.230362083E-1,-1.013870357E1,2.915152168E0,7.203734601E-1,1.057404181E1
9.329652083E-1,-9.764850140E0,3.732813941E0,8.234785831E-1,1.048638713E1
9.428952083E-1,-8.941705433E0,4.186883273E0,8.286767578E-1,9.908117518E0
9.528242083E-1,-8.005936335E0,3.977909633E0,7.036165094E-1,8.967377423E0
9.627532083E-1,-7.766560097E0,4.332914852E0,3.412680638E-1,8.900003975E0
9.726832083E-1,-7.789106961E0,4.796390016E0,-3.641154742E-1,9.154677739E0
9.826122083E-1,-7.398167385E0,4.918337499E0,-7.917971992E-1,8.919073226E0
9.925412083E-1,-7.342679647E0,4.798084831E0,-1.319373341E0,8.870023025E0
1.002471208E0,-7.906165295E0,4.707282250E0,-1.606321356E0,9.340568727E0
1.012400208E0,-8.779027707E0,4.672038158E0,-1.609975866E0,1.007428858E1
1.022329208E0,-9.361976981E0,4.429354734E0,-1.747028754E0,1.050323311E1
1.032258208E0,-9.681167128E0,4.066687031E0,-1.773811340E0,1.064938247E1
1.042188208E0,-9.893637403E0,3.805783684E0,-1.704232982E0,1.073650132E1
1.052117208E0,-1.006638754E1,3.612298733E0,-1.753770009E0,1.083773821E1
1.062046208E0,-9.959992776E0,3.398031608E0,-1.882475996E0,1.069073387E1
1.071976208E0,-9.200997872E0,3.055242976E0,-2.033448181E0,9.905946849E0
1.081905208E0,-7.353560731E0,2.570305316E0,-2.160718092E0,8.083936387E0
1.091834208E0,-4.810164009E0,2.089974676E0,-2.203018604E0,5.688493905E0
1.101763208E0,-2.251878523E0,1.177096551E0,-2.108173842E0,3.301652635E0
1.111693208E0,-1.045259964E-1,2.485499346E-1,-1.691857350E0,1.713208700E0
1.121622208E0,2.121444098E0,-5.049266598E-1,-1.329603630E0,2.554079444E0
1.131551208E0,4.550901976E0,-1.198093610E0,-7.508304369E-1,4.765488793E0
1.141481208E0,7.521817285E0,-2.080034117E0,-1.007124424E-2,7.804125744E0
1.151410208E0,1.168208549E1,-3.846337633E0,8.796434283E-1,1.233041797E1
1.161339208E0,1.607359120E1,-6.236628520E0,1.966779982E0,1.735292750E1
1.171268208E0,2.041466935E1,-8.238819240E0,3.403943728E0,2.227607910E1
1.181198208E0,2.478146356E1,-9.787948980E0,4.971528450E0,2.710426122E1
1.191127208E0,2.758025438E1,-1.071171784E1,5.926623180E0,3.017509226E1
1.201056583E0,2.825926113E1,-1.118629072E1,5.889426702E0,3.095810534E1
1.210986583E0,2.665273161E1,-1.118669301E1,5.314612659E0,2.938971437E1
1.220915583E0,2.312959005E1,-1.037041001E1,4.449345195E0,2.573557873E1
1.230844583E0,1.903925454E1,-9.217784643E0,2.723226085E0,2.132783926E1
1.240773583E0,1.447965659E1,-8.035185862E0,4.126929724E-1,1.656487193E1
1.250703583E0,9.943559761E0,-6.568399537E0,-1.620703168E0,1.202684214E1
1.260632583E0,6.086121774E0,-4.949205535E0,-3.031279040E0,8.409766126E0
1.270561583E0,3.704008802E0,-3.316133167E0,-3.397377305E0,6.021510852E0
1.280491583E0,2.146246233E0,-1.567184188E0,-3.155226563E0,4.125275001E0
1.290420583E0,1.116836901E0,2.941968083E-1,-2.486472323E0,2.741609206E0
1.300349583E0,-2.228017205E-1,1.963464026E0,-1.965703509E0,2.787260640E0
1.310278583E0,-2.455383847E0,3.246999782E0,-1.715936185E0,4.417731817E0
1.320208583E0,-5.601483491E0,4.486249312E0,-1.456245550E0,7.322820583E0
1.330137583E0,-8.848607234E0,5.979131176E0,-1.144084414E0,1.074042777E1
1.340066583E0,-1.140677402E1,7.271775141E0,-1.015862576E0,1.356558823E1
1.349996583E0,-1.286993917E1,7.600596237E0,-1.247756059E0,1.499870969E1
1.359925583E0,-1.289354905E1,6.496620287E0,-2.091221010E0,1.458845049E1
1.369854583E0,-1.183470367E1,4.721666108E0,-3.278859506E0,1.315694727E1
1.379783583E0,-1.071076123E1,3.779301644E0,-3.874360998E0,1.200059166E1
1.389713583E0,-1.004824597E1,3.735985470E0,-4.190731618E0,1.151030260E1
1.399642583E0,-9.352351295E0,3.912929233E0,-4.179403807E0,1.096562384E1
1.409571583E0,-8.606928363E0,4.028147448E0,-3.921673744E0,1.028030703E1
1.419501583E0,-8.092637680E0,4.116122900E0,-3.596677312E0,9.765722709E0
1.429430583E0,-7.785884560E0,4.241201275E0,-3.228565850E0,9.435646459E0
1.439359583E0,-7.818366428E0,4.332351473E0,-2.861825561E0,9.385423189E0
1.449288583E0,-7.872197065E0,4.329391613E0,-2.346214430E0,9.285463936E0
1.459218583E0,-7.691994649E0,4.301897128E0,-1.880971507E0,9.011723164E0
1.469147583E0,-7.168212181E0,4.205064898E0,-1.537237234E0,8.451564055E0
1.479076583E0,-6.482712684E0,4.189039434E0,-1.404011203E0,7.845053383E0
1.489006583E0,-6.131145335E0,4.340390810E0,-1.211971172E0,7.609126732E0
1.498935583E0,-6.312051170E0,4.538620192E0,-8.709147779E-1,7.823014494E0
1.508864583E0,-6.756800918E0,4.646908579E0,-6.300702310E-1,8.224664521E0
1.518793583E0,-7.529511636E0,4.599804579E0,-6.569815294E-1,8.847789123E0
1.528723583E0,-8.274540465E0,4.353491497E0,-1.001470824E0,9.403395766E0
1.538652583E0,-8.849639268E0,4.019463163E0,-1.274888309E0,9.802935249E0
1.548581583E0,-9.287064793E0,3.594143128E0,-1.406678703E0,1.005714583E1
1.558511583E0,-9.329370568E0,3.326714873E0,-1.444403769E0,1.000951993E1
1.568440583E0,-8.990499278E0,3.112524932E0,-1.466317964E0,9.626368842E0
1.578369583E0,-8.117968987E0,2.758241551E0,-1.383172311E0,8.684611826E0
1.588298583E0,-6.401643378E0,2.388627647E0,-1.212930701E0,6.939580741E0
1.598228583E0,-4.243236691E0,1.740416138E0,-1.035813276E0,4.701809767E0
1.608157583E0,-2.024920017E0,6.950941926E-1,-6.926840434E-1,2.250170703E0
1.618086583E0,2.058243299E-1,-4.745509592E-1,-2.586025043E-1,5.783057348E-1
1.628016583E0,2.878783656E0,-2.364177223E0,2.836729531E-1,3.735933568E0
1.637945583E0,6.253723440E0,-4.428686398E0,5.646246850E-1,7.683822038E0
1.647874583E0,1.103249843E1,-6.430773622E0,3.088370669E-1,1.277365458E1
1.657803583E0,1.520453006E1,-7.955467263E0,4.568675172E-1,1.716612716E1
1.667733583E0,1.793621005E1,-8.548825166E0,1.253156548E0,1.990880318E1
1.677662583E0,2.009819465E1,-9.242976202E0,2.386041716E0,2.225001646E1
1.687591583E0,2.234300389E1,-1.017869267E1,3.601225276E0,2.481500415E1
1.697521583E0,2.357315048E1,-9.863238899E0,3.834767747E0,2.583955008E1
1.707450583E0,2.316394595E1,-9.063691800E0,2.688263243E0,2.501890606E1
1.717379583E0,2.196829326E1,-9.095840376E0,1.364589275E0,2.381600984E1
1.727308583E0,1.986285358E1,-9.376635951E0,3.670448927E-1,2.196790786E1
1.737238583E0,1.692361264E1,-9.387341618E0,-6.348555923E-1,1.936320967E1
1.747167583E0,1.372535173E1,-8.898430774E0,-1.526497507E0,1.642855883E1
1.757096583E0,1.098469159E1,-8.034349126E0,-2.105764790E0,1.377129117E1
1.767026583E0,8.995547179E0,-6.791411172E0,-2.512204750E0,1.154791355E1
1.776955583E0,7.730116156E0,-5.564131477E0,-3.009895188E0,9.988679789E0
1.786884583E0,6.582186102E0,-4.279844354E0,-3.162826774E0,8.464379172E0
1.796814583E0,5.253078316E0,-2.756988200E0,-2.725775471E0,6.528833559E0
1.806743583E0,3.117726615E0,-1.005985386E0,-1.895624045E0,3.784919598E0
1.816672583E0,3.512001443E-1,8.930724362E-1,-1.030245484E0,1.407950878E0
1.826601583E0,-2.444709755E0,2.618714414E0,-5.149876714E-1,3.619320830E0
1.836531583E0,-5.734935663E0,4.470888092E0,-2.950236046E-1,7.277730850E0
1.846460583E0,-8.781091189E0,6.566907912E0,-3.604855227E-1,1.097095218E1
1.856389583E0,-1.087495806E1,8.145449147E0,-1.025959475E0,1.362591823E1
1.866319583E0,-1.167599503E1,8.200683115E0,-2.141982443E0,1.442803356E1
1.876248583E0,-1.132261622E1,6.475317711E0,-2.996130842E0,1.338313033E1
1.886177583E0,-1.028571075E1,4.478417844E0,-3.288364155E0,1.169039824E1
1.896106583E0,-9.929305419E0,3.489949254E0,-2.954379968E0,1.093156955E1
1.906036583E0,-9.936185253E0,3.218558925E0,-2.113476098E0,1.065615691E1
1.915965583E0,-9.860931587E0,3.191682783E0,-1.258454125E0,1.044071442E1
1.925894583E0,-9.558605395E0,3.097785563E0,-6.859041238E-1,1.007142874E1
1.935824583E0,-9.238585528E0,2.960073987E0,-3.708655731E-1,9.708297577E0
1.945753583E0,-9.139669935E0,2.845686369E0,-1.402524841E-1,9.573461662E0
1.955682583E0,-9.128132794E0,2.881933551E0,1.677343611E-1,9.573739296E0
1.965611583E0,-9.051658230E0,2.936915797E0,3.937350933E-1,9.524338215E0
1.975541583E0,-8.927937579E0,2.861165995E0,4.620457749E-1,9.386576935E0
1.985470583E0,-8.766719903E0,2.732430479E0,4.738419843E-1,9.194894257E0
1.995399583E0,-8.684061908E0,2.688968710E0,5.083750186E-1,9.105049649E0
2.005329583E0,-8.809658346E0,2.787367702E0,5.403388596E-1,9.255888124E0
2.015258583E0,-9.003674809E0,2.967408149E0,4.878367102E-1,9.492610591E0
2.025187583E0,-9.167009761E0,3.004906343E0,2.391552132E-1,9.649908047E0
2.035116583E0,-9.407826753E0,3.104371282E0,-1.102784872E-2,9.906787920E0
2.045046583E0,-9.527079547E0,3.239748065E0,-2.801529841E-1,1.006676204E1
2.054975583E0,-9.762679653E0,3.291613161E0,-5.842444324E-1,1.031920408E1
2.064904583E0,-1.008835319E1,3.281441052E0,-9.509233260E-1,1.065114927E1
2.074834583E0,-1.026200614E1,3.198984786E0,-1.351682131E0,1.083371212E1
2.084763583E0,-9.999246304E0,3.016912139E0,-1.708957533E0,1.058334642E1
2.094692583E0,-9.320292181E0,2.837334206E0,-1.942020532E0,9.934271764E0
2.104621583E0,-8.268776865E0,2.642721327E0,-2.105412787E0,8.932491806E0
2.114551583E0,-6.557721351E0,1.982720076E0,-2.276972433E0,7.219383054E0
2.124480583E0,-3.885722723E0,6.643995264E-1,-2.064194595E0,4.449850237E0
2.134409583E0,-4.507425588E-1,-9.759745520E-1,-1.440128285E0,1.797126778E0
2.144339583E0,3.223163608E0,-2.886955140E0,-7.067798531E-1,4.384384949E0
2.154268583E0,6.440926727E0,-4.446543794E0,1.307455692E-3,7.826703682E0
2.164197583E0,1.020711950E1,-5.662253603E0,4.817544365E-1,1.168240094E1
2.174126583E0,1.450665084E1,-7.034859411E0,1.275025134E0,1.617275037E1
2.184056583E0,1.854043910E1,-7.809099761E0,2.765475726E0,2.030708687E1
2.193985583E0,2.239515872E1,-8.936980882E0,4.406676893E0,2.451186575E1
2.203914958E0,2.624908428E1,-1.025334875E1,5.940562942E0,2.879992837E1
2.213844958E0,2.821039244E1,-1.064087531E1,6.567187994E0,3.085745335E1
2.223773958E0,2.712827864E1,-1.005050417E1,6.086317656E0,2.956348083E1
2.233702958E0,2.444943292E1,-9.999148071E0,5.311093805E0,2.694374602E1
2.243631958E0,2.142205105E1,-1.057011231E1,4.100979781E0,2.423735919E1
2.253561958E0,1.824421682E1,-1.068657598E1,2.134186935E0,2.125109661E1
2.263490958E0,1.506531838E1,-9.971621718E0,-1.990987528E-1,1.806755927E1
2.273419958E0,1.229090811E1,-8.939748369E0,-2.448420982E0,1.539416410E1
2.283349958E0,9.768143291E0,-7.583689013E0,-4.325719854E0,1.310117608E1
2.293278958E0,7.073714159E0,-5.830555766E0,-5.629151931E0,1.075733071E1
2.303207958E0,4.492707562E0,-3.824230187E0,-6.091905255E0,8.480593576E0
2.313136958E0,1.958817828E0,-1.774226493E0,-5.690648267E0,6.274418271E0
2.323066958E0,-5.655064452E-1,4.589654982E-1,-4.611771491E0,4.668927409E0
2.332995958E0,-2.969831820E0,2.515333302E0,-3.204672958E0,5.041500910E0
2.342924958E0,-5.356394523E0,4.124582944E0,-1.901896353E0,7.022845327E0
2.352854958E0,-8.006681271E0,5.455114819E0,-9.234612930E-1,9.732317474E0
2.362783958E0,-1.067424303E1,6.382335287E0,-3.763770854E-1,1.244248077E1
2.372712958E0,-1.260294127E1,6.327689549E0,-4.982330596E-1,1.411106019E1
2.382641958E0,-1.348338810E1,4.851116446E0,-1.368960654E0,1.439476081E1
2.392571958E0,-1.364634065E1,2.817608331E0,-2.543263990E0,1.416438214E1
2.402500958E0,-1.362775469E1,1.596270577E0,-3.206853969E0,1.409069516E1
2.412429958E0,-1.359428523E1,1.413951177E0,-3.118787885E0,1.401894028E1
2.422359958E0,-1.341232806E1,1.864951891E0,-2.553686652E0,1.378005461E1
2.432288958E0,-1.260220218E1,2.447217041E0,-1.973665663E0,1.298844591E1
2.442217958E0,-1.139771785E1,2.822060401E0,-1.575152189E0,1.184707144E1
2.452146958E0,-9.955700920E0,3.019020352E0,-1.024787108E0,1.045373872E1
2.462076958E0,-8.654575569E0,3.308002614E0,-2.853218313E-1,9.269626105E0
2.472005958E0,-7.772689149E0,3.792606398E0,4.051617221E-1,8.658101173E0
2.481934958E0,-7.083012401E0,4.210944858E0,8.853719455E-1,8.287641688E0
2.491864958E0,-6.519403378E0,4.438650346E0,1.200660245E0,7.977833184E0
2.501793958E0,-6.049029962E0,4.598702671E0,1.367248004E0,7.720634484E0
2.511722958E0,-5.656323942E0,4.891922410E0,1.496970237E0,7.626652299E0
2.521651958E0,-5.443852497E0,5.325327682E0,1.565114858E0,7.774588700E0
2.531581958E0,-5.415727975E0,5.760471624E0,1.523861582E0,8.052036820E0
2.541510958E0,-5.438337404E0,6.071945200E0,1.352925249E0,8.262834801E0
2.551439958E0,-5.778607348E0,6.205186872E0,1.156504412E0,8.557695335E0
2.561369958E0,-6.389230909E0,6.211646292E0,7.831807423E-1,8.945400680E0
2.571298958E0,-6.890398686E0,6.162394609E0,2.073563004E-1,9.246388376E0
2.581227958E0,-7.198397262E0,5.876738244E0,-1.969084954E-1,9.294716160E0
2.591156958E0,-7.295093252E0,5.291065337E0,-5.594341117E-1,9.029215054E0
2.601086958E0,-7.176669593E0,4.643607241E0,-8.437871325E-1,8.589508216E0
2.611015958E0,-6.802586371E0,4.113239346E0,-1.161391515E0,8.033850229E0
2.620944958E0,-5.997704857E0,3.326224584E0,-1.370663363E0,6.993922475E0
2.630874958E0,-4.606662778E0,2.167098866E0,-1.619670550E0,5.342377012E0
2.640803958E0,-2.426414402E0,3.123047581E-1,-2.022245500E0,3.174034967E0
2.650732958E0,8.813917458E-2,-2.292554386E0,-1.899617693E0,2.978610667E0
2.660661958E0,3.680567315E0,-4.984773563E0,-9.530236459E-1,6.269194311E0
2.670591958E0,7.933478808E0,-6.788791035E0,4.781689239E-1,1.045257936E1
2.680520958E0,1.303296656E1,-7.685403668E0,1.738625135E0,1.522978871E1
2.690449958E0,1.710038800E1,-7.876215856E0,2.936086954E0,1.905462286E1
2.700379958E0,2.017941248E1,-8.549853691E0,3.727457306E0,2.223066855E1
2.710308958E0,2.331935793E1,-1.056559007E1,4.568380473E0,2.600565800E1
2.720237958E0,2.499875545E1,-1.120316462E1,4.665295733E0,2.778873253E1
2.730166958E0,2.448887356E1,-1.012962518E1,3.634462019E0,2.674927193E1
2.740096958E0,2.297839041E1,-9.656219398E0,2.341684738E0,2.503462575E1
2.750025958E0,2.095348560E1,-9.747841759E0,1.392222047E0,2.315183059E1
2.759954958E0,1.811186041E1,-9.542999761E0,2.271561420E-1,2.047339571E1
2.769884958E0,1.494900323E1,-8.889683340E0,-1.117323389E0,1.742835560E1
2.779813958E0,1.224746330E1,-7.950254470E0,-2.680665371E0,1.484563472E1
2.789742958E0,1.022020908E1,-6.826844130E0,-4.173388191E0,1.297981677E1
2.799671958E0,8.634381625E0,-5.515780851E0,-5.285189470E0,1.152864312E1
2.809601958E0,7.293105199E0,-4.168382390E0,-5.666836066E0,1.013300677E1
