"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.992416685E-3,9.419952124E-2,5.767832391E-2,-1.063976902E-1,1.533649482E-1
1.201841666E-2,2.273733661E-2,2.603692040E-2,2.368654436E-1,2.393744892E-1
2.204441675E-2,2.118592411E-2,3.747407421E-2,5.202063113E-1,5.219844404E-1
3.207141673E-2,1.944389239E-2,-1.519720584E-2,5.922270513E-1,5.927410061E-1
4.209741671E-2,-3.008684814E-2,-1.964255154E-1,4.655009311E-1,5.061415992E-1
5.212341668E-2,-2.166412403E-1,-4.075952967E-1,2.846763718E-1,5.423172407E-1
6.214941666E-2,-4.978662930E-1,-6.314627454E-1,2.390815383E-1,8.389135989E-1
7.217641675E-2,-6.790020704E-1,-7.642723086E-1,4.393305480E-1,1.112729663E0
8.220241673E-2,-6.433048189E-1,-8.265039325E-1,8.129775685E-1,1.325851563E0
9.222841670E-2,-5.994517247E-1,-8.238691771E-1,1.043176017E0,1.458190315E0
1.022544167E-1,-5.771978067E-1,-6.313442662E-1,1.059946416E0,1.362071692E0
1.122804168E-1,-4.055589308E-1,-1.961569089E-1,6.771087420E-1,8.132845921E-1
1.223074168E-1,-2.533807580E-1,3.046261945E-1,6.176589310E-2,4.010161499E-1
1.323334167E-1,-5.487494946E-2,7.218219616E-1,-3.669560516E-1,8.116002391E-1
1.423594167E-1,-1.233649944E-1,9.971311670E-1,-5.251284975E-1,1.133688416E0
1.523854167E-1,-4.799415073E-1,1.006356758E0,-5.252126974E-1,1.232455335E0
1.624124167E-1,-9.109014738E-1,8.246479531E-1,-4.082444108E-1,1.294777680E0
1.724384167E-1,-1.374464053E0,5.291676810E-1,-2.117358649E-1,1.487952265E0
1.824644167E-1,-1.731263783E0,1.832784896E-1,-7.165119588E-2,1.742411888E0
1.924904167E-1,-1.878547252E0,-1.081022997E-1,-7.821411073E-2,1.883279940E0
2.025164167E-1,-1.926412705E0,-2.211246660E-1,-3.180066705E-2,1.939322900E0
2.125434167E-1,-1.963568983E0,-1.764968888E-1,4.987347507E-1,2.033590582E0
2.225694167E-1,-1.836172919E0,-8.866242729E-2,1.293430415E0,2.247744258E0
2.325954167E-1,-1.598704335E0,-6.958851747E-2,1.546300857E0,2.225251548E0
2.426214167E-1,-1.393086558E0,-4.785777904E-2,1.155534943E0,1.810591486E0
2.526484167E-1,-1.213738566E0,-1.047733337E-1,3.934445232E-1,1.280209886E0
2.626744168E-1,-1.051034821E0,-2.489146547E-1,-2.643456030E-1,1.111985296E0
2.727004167E-1,-9.160109170E-1,-3.379844137E-1,-5.844052309E-1,1.137909899E0
2.827264167E-1,-8.076935859E-1,-3.518841223E-1,-5.252588904E-1,1.025713540E0
2.927534167E-1,-7.111503544E-1,-3.710113149E-1,-2.199517876E-1,8.317229174E-1
3.027794167E-1,-6.094587958E-1,-4.015924720E-1,1.990164167E-1,7.565210317E-1
3.128054168E-1,-5.103229089E-1,-3.831497692E-1,6.931909239E-1,9.422032021E-1
3.228314167E-1,-3.976774688E-1,-2.854103436E-1,1.196399964E0,1.292663648E0
3.328584167E-1,-2.213340694E-1,-1.572315558E-1,1.670634881E0,1.692551754E0
3.428844167E-1,-1.836525652E-1,-9.394122049E-2,1.982901925E0,1.993603085E0
3.529104167E-1,-2.395681728E-1,-6.362245716E-2,2.060950559E0,2.075802961E0
3.629364168E-1,-3.796768154E-1,1.299309790E-2,1.960362663E0,1.996833762E0
3.729624167E-1,-5.033878188E-1,1.624108002E-1,1.760343449E0,1.838092930E0
3.829894167E-1,-5.721135065E-1,2.000983708E-1,1.407254069E0,1.532226235E0
3.930154167E-1,-5.657286394E-1,1.782938113E-1,1.086609135E0,1.237964857E0
4.030414167E-1,-5.247564684E-1,1.594028462E-1,8.619292885E-1,1.021616717E0
4.130674168E-1,-5.094835411E-1,6.146446913E-2,7.021237153E-1,8.696718181E-1
4.230944167E-1,-5.085440397E-1,-3.863328472E-2,7.211423689E-1,8.832643360E-1
4.331204167E-1,-4.621162704E-1,-1.668529299E-1,9.628469682E-1,1.080955888E0
4.431464167E-1,-3.920037693E-1,-2.213471525E-1,1.198081039E0,1.279867060E0
4.531724167E-1,-2.810192308E-1,-1.993236879E-1,1.206770001E0,1.254988277E0
4.631994168E-1,-1.595613058E-1,-1.443274087E-1,1.022903135E0,1.045285146E0
4.732254167E-1,-7.924862936E-2,2.014387719E-2,7.017436463E-1,7.064915188E-1
4.832514167E-1,-1.839314774E-2,1.477532192E-1,2.725188410E-1,3.105412056E-1
4.932774167E-1,2.491147757E-2,2.300690787E-1,-2.279689050E-1,3.248417835E-1
5.033034167E-1,1.847690910E-2,3.360810719E-1,-7.992570770E-1,8.672391586E-1
5.133304168E-1,-8.036267012E-3,4.116757031E-1,-1.366320051E0,1.427015048E0
5.233564167E-1,-1.263695861E-1,3.811080676E-1,-1.872505324E0,1.915068881E0
5.333824167E-1,-3.197333533E-1,2.903433470E-1,-2.230842580E0,2.272264793E0
