"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.462258335E-2,-1.363233891E0,-8.723999707E-1,1.573914918E0,2.257586436E0
2.465058333E-2,-1.434385734E0,-1.147357320E0,1.013725346E0,2.097982443E0
3.467858338E-2,-1.919339475E0,-1.416059245E0,4.559009725E-1,2.428360249E0
4.470658337E-2,-2.437256894E0,-1.193268049E0,-3.439191914E-1,2.735395805E0
5.473458336E-2,-2.368999422E0,-5.587485257E-1,-1.866276870E0,3.067139959E0
6.476358336E-2,-2.091098511E0,1.305396742E-1,-3.682712073E0,4.236992070E0
7.479158335E-2,-1.602138989E0,8.986356964E-1,-5.234844359E0,5.547791535E0
8.481958334E-2,-1.357967888E0,1.343944218E0,-5.708150738E0,6.019405925E0
9.484758339E-2,-1.172394513E0,1.510230553E0,-5.305576957E0,5.639543604E0
1.048755834E-1,-9.452057724E-1,1.454384089E0,-4.421473272E0,4.749533970E0
1.149035834E-1,-8.621900743E-1,9.200565324E-1,-3.187311990E0,3.427657140E0
1.249325834E-1,-6.447085892E-1,5.128821621E-1,-2.264114991E0,2.409338907E0
1.349605834E-1,-8.333937067E-1,1.244236328E-1,-1.657259375E0,1.859175879E0
1.449885833E-1,-7.248999359E-1,3.799251759E-1,-1.884951122E0,2.054960776E0
1.550165833E-1,-7.302685569E-1,7.021852572E-1,-2.131206610E0,2.359745307E0
1.650445834E-1,-8.142854445E-1,8.713328538E-1,-2.184232669E0,2.488604846E0
1.750725834E-1,-9.140673025E-1,1.014080930E0,-2.252117089E0,2.633611693E0
1.851005834E-1,-8.678911096E-1,1.161337866E0,-1.832008678E0,2.336278325E0
1.951295834E-1,-5.607596755E-1,1.035912606E0,-9.368654501E-1,1.505085782E0
2.051575833E-1,-4.024411954E-1,4.422572257E-1,4.127660626E-1,7.265852956E-1
2.151855833E-1,-6.188213575E-1,2.274391472E-2,1.727627692E0,1.835253280E0
2.252135834E-1,-5.341446117E-1,3.516193897E-2,2.035423955E0,2.104637143E0
2.352415834E-1,-7.825340402E-1,3.725778571E-1,1.555343576E0,1.780524480E0
2.452695834E-1,-8.451160584E-1,9.612367912E-1,3.549464554E-1,1.328226000E0
2.552985834E-1,-7.647185974E-1,1.417336569E0,-7.641422081E-1,1.782568595E0
2.653265834E-1,-7.199977764E-1,1.586396384E0,-1.254392649E0,2.146753643E0
2.753545833E-1,-5.453192255E-1,1.569090088E0,-1.122819187E0,2.005028600E0
2.853825834E-1,-1.671315497E-1,1.146654485E0,-1.645090735E-1,1.170389977E0
2.954105834E-1,8.299684078E-3,4.314174380E-1,1.550900862E0,1.609808490E0
3.054385834E-1,4.342405468E-2,-2.664271387E-1,3.504952040E0,3.515331829E0
3.154665834E-1,2.910420893E-1,-4.088688203E-1,4.425669819E0,4.454035536E0
3.254955834E-1,2.441066355E-1,-1.742185944E-1,4.580380713E0,4.590188193E0
3.355235833E-1,4.588526469E-1,1.397594176E-1,4.085768250E0,4.113827978E0
3.455515833E-1,8.513949448E-1,5.396163630E-1,3.221474347E0,3.375493466E0
3.555795834E-1,1.189317963E0,9.973043177E-1,2.577774256E0,3.008988740E0
3.656075834E-1,1.875693226E0,8.926261474E-1,2.732937140E0,3.432776126E0
3.756355834E-1,1.483738866E0,-7.719859555E-2,4.069690161E0,4.332414875E0
3.856645834E-1,7.165300852E-1,-4.616289780E-1,4.915083523E0,4.988442915E0
3.956925833E-1,3.927877347E-1,-1.276231561E-1,4.826172516E0,4.843811622E0
4.057205833E-1,2.559077784E-1,3.319433628E-1,3.895876413E0,3.918357846E0
4.157485834E-1,4.243996829E-2,6.295746063E-1,2.885044270E0,2.953243263E0
4.257765834E-1,-3.513010088E-1,7.947025345E-1,1.853605953E0,2.047149127E0
4.358045834E-1,-3.735207206E-1,7.376758828E-1,9.530236459E-1,1.261720059E0
4.458325834E-1,-1.435089447E-1,3.467119677E-1,2.294032270E-1,4.398066010E-1
4.558615834E-1,1.226254678E-1,-3.274347210E-1,-3.025600809E-1,4.623776643E-1
4.658895833E-1,2.363381709E-1,-9.176847555E-1,-3.020373398E-1,9.945992139E-1
4.759175834E-1,3.073279005E-1,-1.479486770E0,3.239643985E-1,1.545407543E0
4.859455834E-1,4.522371072E-1,-1.594835524E0,1.117408174E0,1.999154766E0
4.959735834E-1,5.324265535E-1,-1.399930724E0,1.725426216E0,2.284815023E0
5.060015834E-1,7.211210266E-1,-1.135421764E0,1.747544478E0,2.205245977E0
5.160305834E-1,1.025357504E0,-8.514428920E-1,1.214578958E0,1.803195789E0
5.260585833E-1,1.192923648E0,-6.077342692E-1,6.188003075E-1,1.474897147E0
5.360865833E-1,1.281082265E0,-4.376847396E-1,2.700092161E-1,1.380450896E0
5.461145834E-1,1.222876887E0,-4.125510678E-1,-6.148054898E-2,1.292055000E0
5.561425834E-1,1.031686969E0,-2.916353259E-1,-2.987383407E-1,1.112957215E0
5.661705834E-1,8.132212512E-1,-1.369279034E-1,-7.245793623E-1,1.097767419E0
5.761985834E-1,5.515301380E-1,5.344603613E-2,-1.361988434E0,1.470392623E0
5.862275833E-1,3.256953205E-1,1.625146979E-1,-2.139641218E0,2.170380845E0
5.962555833E-1,1.425296822E-1,1.593472246E-1,-2.923268688E0,2.931075923E0
6.062835834E-1,6.855144069E-2,-3.078504223E-2,-3.297319166E0,3.298175359E0
6.163115834E-1,2.275291944E-1,-3.137601301E-1,-3.619985483E0,3.640674367E0
6.263395834E-1,4.124222463E-1,-3.077346475E-1,-3.902727596E0,3.936505482E0
6.363675834E-1,7.061082273E-1,-4.118541162E-2,-3.961458199E0,4.024106874E0
6.463955833E-1,6.717693570E-1,1.950168846E-1,-3.857961313E0,3.920863571E0
6.564245833E-1,2.054172175E-1,3.394143868E-1,-3.206604878E0,3.231054503E0
6.664525833E-1,-1.505242878E-1,3.032501985E-1,-2.901221761E0,2.920908412E0
6.764805834E-1,2.535093237E-2,2.471122505E-1,-2.812090314E0,2.823040749E0
6.865085834E-1,-1.094496444E-2,1.582070176E-1,-3.050331607E0,3.054451206E0
6.965365834E-1,-1.147849363E-1,9.146744628E-2,-3.459703361E0,3.462815217E0
7.065645833E-1,-8.028322108E-2,4.556106582E-2,-3.855611901E0,3.856716782E0
7.165935833E-1,3.493736568E-1,2.336578804E-1,-4.040421923E0,4.062224424E0
7.266215833E-1,8.072955367E-1,4.532026286E-1,-3.891336635E0,3.999952439E0
7.366495834E-1,9.735675457E-1,4.280806513E-1,-3.418707363E0,3.580313791E0
7.466775834E-1,9.298084456E-1,3.093845125E-1,-2.595921090E0,2.774719595E0
7.567055834E-1,3.696044017E-1,1.746980843E-1,-2.221302847E0,2.258608681E0
7.667335834E-1,-7.487652004E-3,-2.785978988E-2,-1.535945438E0,1.536216333E0
7.767610000E-1,-1.362540118E-2,-8.906880878E-3,-3.882609665E-1,3.886020615E-1
7.867900000E-1,1.162528798E-2,-2.053082217E-1,6.453449124E-1,6.773157825E-1
7.968180000E-1,-2.867735488E-1,-4.690568057E-1,1.689234290E0,1.776447534E0
8.068460000E-1,-5.633556200E-1,-4.209701813E-1,2.021642652E0,2.140472953E0
8.168740000E-1,-3.760657578E-1,-1.064381456E-1,1.898838844E0,1.938644756E0
8.269020000E-1,-6.576981056E-2,3.775297178E-1,1.989520388E0,2.026091245E0
8.369300000E-1,2.580916769E-1,5.911811306E-1,2.057435213E0,2.156187863E0
8.469590000E-1,4.512637650E-1,5.795143639E-1,2.385617208E0,2.496126068E0
8.569870000E-1,4.608548432E-1,5.237384681E-1,2.582994651E0,2.675546773E0
8.670150000E-1,3.085073570E-1,2.537113084E-1,3.065971740E0,3.091881131E0
8.770430000E-1,-2.368246593E-2,-5.021323850E-2,3.986542169E0,3.986928730E0
8.870710000E-1,3.214573682E-1,-1.672865740E-1,4.536811355E0,4.551261024E0
8.970990001E-1,9.450281632E-1,-2.416237798E-1,4.307993435E0,4.417042870E0
9.071270000E-1,1.598364173E0,-6.732219150E-2,3.580388723E0,3.921540987E0
9.171560000E-1,1.709149321E0,9.968314972E-2,2.626824794E0,3.135496234E0
9.271840000E-1,1.339994863E0,3.595624667E-1,1.543459695E0,2.075364843E0
9.372120000E-1,7.852536533E-1,8.273703437E-1,8.126097786E-1,1.400535483E0
9.472400000E-1,9.192807531E-1,9.299872242E-1,1.610299802E-1,1.317529504E0
9.572680001E-1,1.138414808E0,2.938041313E-1,-1.963880932E-1,1.192005631E0
