"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.832679164E-2,-2.429553187E-1,5.963429064E-2,1.197427905E-1,2.773479248E-1
2.840879167E-2,-2.569287023E-1,1.043602279E-1,5.416919053E-2,2.825556873E-1
3.848979165E-2,-2.021207035E-1,1.863069087E-1,3.736663163E-2,2.774154072E-1
4.857179165E-2,-3.289079270E-1,9.072013557E-2,1.161058223E-1,3.604041196E-1
5.865379167E-2,-3.445015740E-1,-6.176735491E-2,-4.090712070E-3,3.500189632E-1
6.873479165E-2,-2.597540769E-1,1.215375933E-1,-1.254099119E-1,3.130035352E-1
7.881679165E-2,-2.121799609E-1,1.473711768E-1,1.242036313E-1,2.866446259E-1
8.889879167E-2,-6.922810972E-3,2.614500618E-1,-5.015039921E-2,2.663064450E-1
9.897979166E-2,-1.085249072E-1,1.923982456E-1,-1.615690935E-1,2.736773874E-1
1.090617916E-1,-1.751115373E-1,6.660651058E-2,-4.837401509E-3,1.874136553E-1
1.191437917E-1,-2.182186729E-1,2.434371293E-2,-1.083301950E-1,2.448416564E-1
1.292247917E-1,-2.045420355E-1,1.194989616E-1,-1.443572295E-1,2.774102662E-1
1.393067917E-1,-3.247721913E-1,1.909007737E-1,-1.852672738E-1,4.198142975E-1
1.493877917E-1,-5.205369714E-1,1.830473784E-1,-1.909776646E-1,5.838985782E-1
1.594697917E-1,-5.597089309E-1,1.845046507E-1,-1.779296029E-1,6.156094517E-1
1.695517917E-1,-7.036390212E-1,1.553447324E-1,-7.319544554E-2,7.242909852E-1
1.796327917E-1,-7.898778507E-1,1.236601326E-1,7.846144795E-2,8.033399319E-1
1.897147917E-1,-4.957827839E-1,3.424629423E-1,4.521476448E-2,6.042564113E-1
1.997967917E-1,-3.383029407E-1,4.208815594E-1,1.295918405E-1,5.553235200E-1
2.098777917E-1,-2.971207085E-1,1.959720638E-1,2.006659162E-1,4.085983054E-1
2.199597917E-1,-2.587223357E-1,1.195451546E-1,1.414622730E-1,3.181821265E-1
2.300407916E-1,-3.335058850E-1,2.763518371E-1,7.170557499E-2,4.390195926E-1
2.401227917E-1,-5.728265744E-1,3.537713112E-1,1.676326561E-1,6.938192361E-1
2.502047917E-1,-7.528582513E-1,2.865794943E-1,2.650507772E-1,8.480420200E-1
2.602857916E-1,-8.352405497E-1,3.921748003E-1,1.023917627E-1,9.283921171E-1
2.703677916E-1,-1.037595727E0,5.918940523E-1,5.857389808E-1,1.330426103E0
2.804497917E-1,-1.249711076E0,5.182366768E-1,1.057223952E0,1.716994325E0
2.905307917E-1,-8.349891195E-1,4.918403719E-1,5.076733893E-1,1.094004594E0
3.006127916E-1,1.113707471E-1,6.297956311E-1,-2.484107709E-1,6.861150715E-1
3.106937917E-1,4.701985842E-1,8.130476620E-1,-5.240923709E-1,1.075549173E0
3.207757917E-1,5.863105461E-1,9.821206335E-1,-2.522810429E-1,1.171309831E0
3.308577916E-1,5.268119109E-1,1.352112779E0,5.770348155E-1,1.561636620E0
3.409387917E-1,2.172857496E-1,1.812441263E0,1.151170582E0,2.158089464E0
3.510207917E-1,-4.939417881E-1,2.230478298E0,2.958808064E-1,2.303596618E0
3.611017917E-1,-1.170256186E0,2.138135560E0,-3.042004588E0,3.898065562E0
3.711837917E-1,-6.254756351E-1,8.098645109E-1,-4.323877981E0,4.443311950E0
