"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.175916685E-3,9.995563728E-1,-2.626671013E0,1.101059943E0,3.018417889E0
1.220291667E-2,9.553797814E-1,-1.753126815E0,6.625528295E-1,2.103611278E0
2.222891664E-2,5.445459312E-1,-1.109411522E0,1.840411858E-1,1.249478032E0
3.225591662E-2,6.303415418E-2,-1.428287673E-1,8.500937931E-2,1.777637644E-1
4.228191660E-2,-6.099675035E-1,7.057197529E-1,9.296495475E-2,9.374130401E-1
5.230891658E-2,-9.538665220E-1,1.403086174E0,-1.691877962E-1,1.705032745E0
6.233591668E-2,-1.028749474E0,2.165196474E0,-5.569706798E-1,2.461019624E0
7.236191665E-2,-1.024338042E0,2.723842381E0,-3.225615053E-1,2.927905679E0
8.238891663E-2,-7.332130685E-1,3.054169135E0,-2.557162821E-1,3.151339608E0
9.241591662E-2,5.932789654E-2,3.305036321E0,-1.998519838E-1,3.311604702E0
1.024419166E-1,3.769568369E-1,3.231945541E0,-4.626214698E-2,3.254183250E0
1.124689167E-1,4.755987802E-1,3.259371321E0,-3.384181309E-1,3.311226727E0
1.224949167E-1,4.088753253E-1,3.608079382E0,-4.568743877E-1,3.659801916E0
1.325219166E-1,4.169146621E-1,4.360292101E0,-7.252440445E-1,4.439813506E0
1.425489166E-1,5.913385668E-1,5.195543468E0,-9.018451600E-1,5.306286641E0
1.525749166E-1,4.146365869E-1,5.519964534E0,-3.834032460E-1,5.548777343E0
1.626019166E-1,8.065064549E-2,5.426883293E0,-2.046455312E-1,5.431339300E0
1.726294999E-1,2.081328106E-1,5.606329079E0,-4.480019689E-2,5.610370047E0
1.826555000E-1,2.012260795E-2,5.737364012E0,-9.373554468E-2,5.738164957E0
1.926825000E-1,1.381697059E-1,5.738261560E0,-6.354278885E-2,5.740276499E0
2.027095000E-1,3.825853667E-1,5.603842843E0,4.374956918E-1,5.633899950E0
2.127355000E-1,3.265731338E-1,5.166870477E0,8.286603856E-1,5.243079111E0
2.227624999E-1,5.022231996E-1,5.045688102E0,7.694199049E-1,5.128664890E0
2.327884999E-1,4.983295387E-1,5.641370857E0,4.337160516E-1,5.679921398E0
2.428155000E-1,5.090840301E-1,8.150571892E0,3.120309623E-1,8.172414089E0
2.528425000E-1,1.434133427E0,1.130987163E1,4.821895424E-1,1.141062845E1
2.628685000E-1,1.591891890E0,1.135834270E1,3.437613896E-1,1.147450394E1
2.728954999E-1,-1.910083625E-1,5.603976159E0,6.585075796E-1,5.645765247E0
2.829224999E-1,-1.699230105E-1,1.783235883E0,6.171408677E-1,1.894641626E0
2.929485000E-1,6.026716402E-1,1.778631785E0,3.828956345E-1,1.916599384E0
3.029755000E-1,2.090762588E-1,1.204752127E0,5.821136340E-1,1.354251399E0
3.130025000E-1,-3.745296577E-1,2.134911990E-1,3.152608180E-1,5.340789641E-1
3.230285000E-1,-2.891885220E-1,-5.186474437E-1,1.264823278E-1,6.071432708E-1
3.330554999E-1,3.367753556E-1,-1.052711656E0,5.398804013E-1,1.230077363E0
3.430814999E-1,6.395979765E-1,-1.636237466E0,7.416397834E-1,1.906931615E0
3.531085000E-1,9.366013022E-1,-2.266371431E0,4.174386092E-1,2.487552302E0
3.631355000E-1,1.133223430E0,-3.312134841E0,4.111832213E-1,3.524699163E0
3.731615000E-1,1.228910337E0,-4.326514490E0,5.801899731E-1,4.534927635E0
3.831885000E-1,1.361472271E0,-4.945131780E0,4.725006330E-1,5.150843806E0
3.932154999E-1,1.338424008E0,-5.678916414E0,3.788013411E-1,5.846790651E0
4.032415000E-1,1.380036303E0,-6.188702402E0,1.253444231E-1,6.341943617E0
4.132685000E-1,1.078059628E0,-6.512947467E0,1.067982244E-1,6.602431607E0
4.232955000E-1,2.583244327E-1,-7.119179184E0,5.452253777E-1,7.144698348E0
4.333215000E-1,-1.603543344E-1,-7.163018099E0,6.017755544E-1,7.190040029E0
4.433484999E-1,-7.007116127E-1,-6.617067667E0,5.507357572E-1,6.676817441E0
4.533744999E-1,-1.257934307E0,-5.472482219E0,-1.796182422E-1,5.618071117E0
4.634015000E-1,-1.747908175E0,-4.343898262E0,-8.969856852E-1,4.767517008E0
4.734285000E-1,-2.014486537E0,-3.598235010E0,-1.346535412E0,4.338042048E0
4.834545000E-1,-2.380979782E0,-2.322267305E0,-1.342921833E0,3.586841118E0
4.934815000E-1,-2.583610655E0,-4.433201033E-1,-1.096883862E0,2.841607104E0
5.035084999E-1,-2.971538915E0,1.349908671E0,-1.056786581E0,3.430611435E0
5.135344999E-1,-3.262727038E0,2.962832118E0,-8.435485661E-1,4.487241477E0
5.235615000E-1,-3.004164039E0,4.472450468E0,-8.630654025E-1,5.456436259E0
5.335885000E-1,-2.768157552E0,4.602006640E0,-1.143631182E0,5.490815388E0
5.436145000E-1,-2.558452132E0,3.612061336E0,-1.146885742E0,4.572527891E0
5.536415000E-1,-1.985316240E0,2.788392134E0,-5.284655400E-1,3.463507917E0
5.636674999E-1,-1.618356096E0,1.570991310E0,-4.655553102E-2,2.255938289E0
5.736945000E-1,-1.433171560E0,7.442412096E-1,3.335368752E-2,1.615236257E0
5.837215000E-1,-5.399882824E-1,7.211160564E-1,-2.052716218E-2,9.011199012E-1
5.937475000E-1,-7.418978283E-2,7.839397109E-1,-2.843092032E-1,8.371961044E-1
6.037745000E-1,6.191642236E-2,8.304835474E-1,-5.917873772E-1,1.021640282E0
6.138014999E-1,-2.416889945E-2,7.865674496E-1,-8.031700337E-1,1.124435232E0
6.238274999E-1,-1.821922413E-1,7.715687567E-1,-7.293968832E-1,1.077279988E0
6.338545000E-1,-3.114870250E-1,6.966548145E-1,-5.854536732E-1,9.618254003E-1
6.438805000E-1,-3.702837020E-1,5.609368461E-1,-3.528431753E-1,7.591169025E-1
6.539075000E-1,-4.516006377E-1,3.331784409E-1,-1.293906597E-1,5.759279055E-1
6.639345000E-1,-6.980142921E-1,4.109013855E-2,-2.141020138E-2,6.995503900E-1
6.739604999E-1,-1.227493703E0,-5.689212191E-1,-4.377763581E-1,1.421991661E0
6.839874999E-1,-1.298984393E0,-8.022882736E-1,-3.881451917E-1,1.575336033E0
6.940145000E-1,-9.364842117E-1,-4.956520987E-1,1.031074254E-1,1.064567904E0
7.040405000E-1,-9.346683589E-1,-3.881200486E-1,4.967092752E-1,1.127369601E0
7.140675000E-1,-8.616223097E-1,-3.520093989E-1,9.577131128E-1,1.335484192E0
7.240945000E-1,-4.421418893E-1,8.536934853E-3,1.605124431E0,1.664928458E0
7.341204999E-1,-1.272930077E-1,2.575914842E-1,1.868952556E0,1.890909976E0
7.441475000E-1,-6.485048208E-2,9.009331405E-2,1.445118299E0,1.449375482E0
7.541735000E-1,-2.218728903E-1,-2.945628440E-1,9.891255248E-1,1.055634479E0
7.642005000E-1,-3.211421668E-1,-4.183197480E-1,5.411107651E-1,7.555955022E-1
7.742275000E-1,-2.098298918E-1,-5.141871876E-1,-9.943299852E-2,5.641843392E-1
7.842534999E-1,6.691657381E-1,-9.240518618E-1,-4.859973224E-1,1.240100006E0
7.942804999E-1,1.667707619E0,-1.952489972E0,-3.495022590E-1,2.591450872E0
8.043075000E-1,2.012381101E0,-3.175054471E0,-1.563485532E-1,3.762325539E0
8.143335000E-1,2.572183441E0,-4.179479821E0,-1.049972820E-1,4.908686551E0
8.243605000E-1,3.327445483E0,-4.374422482E0,-9.036023945E-2,5.496874609E0
8.343864999E-1,2.145308193E0,-4.231673237E0,-5.831087570E-1,4.780106845E0
8.444134999E-1,1.919822162E0,-4.702261831E0,-9.298838747E-1,5.163493728E0
8.544404999E-1,1.932723751E0,-5.860139169E0,-6.892788443E-1,6.209006160E0
8.644665000E-1,1.895513533E0,-7.460616233E0,2.410456181E-2,7.697684532E0
8.744935000E-1,2.100143130E0,-8.348087913E0,3.928959082E-1,8.617165437E0
8.845205000E-1,2.715098747E0,-8.490105087E0,5.489860144E-1,8.930567241E0
8.945464999E-1,3.466415380E0,-8.305647653E0,1.383335887E0,9.105681561E0
9.045734999E-1,4.132185202E0,-6.712165613E0,2.794202512E0,8.362756090E0
9.146005000E-1,4.292788920E0,-4.610137194E0,4.442490212E0,7.708250187E0
9.246265000E-1,3.612482336E0,-3.085101491E0,5.127939715E0,6.990253611E0
9.346535000E-1,1.768825420E0,-1.702023904E0,3.762976510E0,4.492841078E0
9.446795000E-1,-2.046870464E-1,-1.549436134E-1,2.463358864E-1,3.557888127E-1
9.547064999E-1,-1.736395007E0,2.059181777E0,-3.549342932E0,4.455685408E0
9.647334999E-1,-3.013286280E0,4.292025858E0,-5.354771336E0,7.494995413E0
9.747595000E-1,-2.991252802E0,4.810891403E0,-3.946612996E0,6.904203325E0
9.847865000E-1,-1.806757477E0,2.856487638E0,-1.878139701E0,3.866691472E0
9.948135000E-1,-7.273760855E-1,1.624976898E0,-1.080020784E0,2.082323410E0
1.004839500E0,-4.887678793E-1,1.050315467E0,2.209645253E0,2.494912577E0
1.014866500E0,-8.558730349E-1,1.816048118E0,5.167274519E0,5.543579654E0
1.024892500E0,-1.663789546E0,2.243448007E0,3.462035816E0,4.448252084E0
1.034919500E0,-3.911125951E0,3.210392704E0,-1.383793578E0,5.245799480E0
1.044946500E0,-5.330918790E0,4.479675288E0,-3.470302024E0,7.780050255E0
1.054972500E0,-4.315754152E0,4.978434012E0,-1.875871274E0,6.850505977E0
1.064999500E0,-3.096297154E0,4.789411072E0,1.091502669E-1,5.704158857E0
1.075026500E0,-2.867476018E0,3.900731356E0,5.306547010E-1,4.870289338E0
1.085052500E0,-2.720938946E0,2.943012396E0,-3.689731948E-1,4.025043097E0
1.095079500E0,-2.374280627E0,2.443656671E0,-1.250430576E0,3.629358489E0
1.105106500E0,-2.013209798E0,2.302749299E0,-1.548157787E0,3.428186190E0
1.115132500E0,-1.564545047E0,2.555844859E0,-1.850719768E0,3.522116949E0
1.125159500E0,-8.273994336E-1,3.083509294E0,-1.518264481E0,3.535215188E0
1.135185500E0,-2.991029146E-1,3.687267639E0,-1.193336023E0,3.887088378E0
1.145212500E0,-1.631607056E-1,4.241457968E0,-1.343649226E0,4.452188266E0
1.155239500E0,-1.101832361E0,4.286860428E0,-1.342015514E0,4.625171621E0
1.165265500E0,-2.085995061E0,4.470103980E0,-1.041288389E0,5.041575795E0
1.175292042E0,-1.902112408E0,5.622018912E0,-5.584183042E-1,5.961288390E0
1.185319042E0,-2.084777963E0,6.404511437E0,-2.184987545E-1,6.738828356E0
1.195345042E0,-2.517818077E0,6.265609660E0,7.480138332E-2,6.752989525E0
1.205372042E0,-2.383964493E0,6.021382572E0,-2.991083233E-1,6.483039455E0
1.215399042E0,-1.673993814E0,6.274545375E0,-5.952911384E-1,6.521238111E0
1.225425042E0,-7.925389186E-1,6.669330080E0,-6.445083220E-1,6.747108465E0
1.235452042E0,-1.747820467E-1,6.683589685E0,-4.183485456E-1,6.698950317E0
1.245478042E0,-2.156321570E-1,6.047114414E0,-5.661873534E-2,6.051222657E0
1.255505042E0,-4.236205414E-1,5.381487265E0,-4.491714120E-2,5.398321692E0
1.265532042E0,-1.629984453E-1,5.008285802E0,-2.441421573E-1,5.016881557E0
1.275558042E0,4.355321968E-1,4.551478511E0,-3.943198514E-1,4.589241013E0
1.285585042E0,6.057256410E-1,3.792356138E0,-4.576111369E-1,3.867593125E0
1.295612042E0,4.671530619E-1,2.925139797E0,-3.501536389E-1,2.982831270E0
1.305638042E0,1.854210556E-2,2.099964352E0,-2.225052667E-1,2.111800815E0
1.315665042E0,-1.454918817E-1,1.273985499E0,2.774854660E-2,1.282566537E0
1.325691042E0,-3.668661506E-1,1.920126218E-1,5.181557659E-1,6.632835119E-1
1.335718042E0,-5.325000823E-1,-9.485704064E-1,7.473395030E-1,1.319794865E0
1.345745042E0,-6.361302853E-1,-2.150878982E0,7.870878518E-1,2.377067399E0
1.355771042E0,-8.237346911E-1,-3.391292692E0,8.902935469E-1,3.601670108E0
1.365798042E0,-7.910760914E-1,-4.511799890E0,6.753697801E-1,4.630147295E0
1.375825042E0,-6.094323371E-1,-5.523436026E0,4.137782522E-1,5.572339343E0
1.385851042E0,-7.433878085E-1,-6.704553123E0,2.446369779E-1,6.750074463E0
1.395878042E0,-5.383483212E-1,-7.598446215E0,-2.634649758E-1,7.622048123E0
1.405904042E0,2.085323216E-1,-7.914778828E0,-7.043322086E-1,7.948791951E0
1.415931042E0,5.876787215E-1,-7.958791990E0,-5.646539211E-1,8.000410631E0
1.425958042E0,5.948056734E-1,-7.983113483E0,-2.032153022E-1,8.007820623E0
1.435984042E0,4.113416809E-1,-7.866474395E0,-4.845938444E-2,7.877370735E0
1.446011042E0,1.260338829E-1,-7.345772824E0,3.044838148E-1,7.353160771E0
1.456038042E0,-1.084824418E-1,-6.515611458E0,6.762901318E-1,6.551513524E0
1.466064042E0,-2.987245632E-1,-5.606712071E0,2.223982443E-1,5.619067324E0
1.476091042E0,-6.884160876E-1,-4.910398149E0,-1.980475330E-1,4.962373376E0
1.486118042E0,-1.147712538E0,-4.452336631E0,-3.722167915E-1,4.612926499E0
1.496144042E0,-1.250610670E0,-3.729271113E0,-8.878108191E-1,4.032331600E0
1.506171042E0,-1.080522768E0,-2.563241587E0,-1.355144852E0,3.094213059E0
1.516197042E0,-9.978948864E-1,-1.131970664E0,-1.467479221E0,2.104910224E0
1.526224042E0,-1.038031636E0,6.066837072E-1,-1.426155193E0,1.865340032E0
1.536251042E0,-1.147067298E0,2.471092392E0,-1.226568673E0,2.987730193E0
1.546277042E0,-1.420710559E0,4.111845662E0,-1.088887210E0,4.484570057E0
