"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.113833348E-3,3.012280852E-2,-2.196342838E-1,5.730195326E-1,6.144086481E-1
1.819283335E-2,1.065181428E-1,2.686061767E-1,4.544467700E-1,5.385325056E-1
2.827283333E-2,1.389769140E-1,3.976729372E-1,2.817732292E-1,5.068081494E-1
3.835283333E-2,1.397157097E-1,2.899730721E-1,6.902345717E-2,3.291946229E-1
4.843183333E-2,-4.773316026E-2,1.822699910E-1,-6.978593409E-2,2.009250627E-1
5.851183334E-2,-3.095688459E-1,6.578176081E-2,-8.806199133E-2,3.285042233E-1
6.859083334E-2,-3.874534661E-1,-4.322846532E-2,1.534543276E-2,3.901594173E-1
7.867083335E-2,-3.923695126E-1,-4.485633016E-2,5.898378789E-2,3.993056624E-1
8.874983335E-2,-3.680369094E-1,6.926026940E-2,4.223268449E-2,3.768710008E-1
9.882983332E-2,-2.789674428E-1,2.402448419E-1,1.670841873E-2,3.685370937E-1
1.089098333E-1,-2.411125687E-1,3.662567246E-1,-5.283661008E-2,4.416683897E-1
1.189888333E-1,-1.575470862E-1,4.289453083E-1,-1.257741934E-1,4.739560208E-1
1.290688333E-1,6.264385253E-2,4.931874973E-1,-2.087771738E-1,5.392087425E-1
1.391478333E-1,2.357781538E-1,5.335288998E-1,-2.899903214E-1,6.514129346E-1
1.492278333E-1,3.213755438E-1,5.523130801E-1,-4.664142662E-1,7.911221438E-1
1.593068333E-1,4.023644507E-1,5.377687159E-1,-5.189655322E-1,8.487741552E-1
1.693868333E-1,4.589003018E-1,4.640712869E-1,-4.583018392E-1,7.974912051E-1
1.794658333E-1,4.654790041E-1,3.279717878E-1,-4.298609823E-1,7.134540356E-1
1.895458333E-1,5.516196004E-1,3.040040508E-1,-3.478075898E-1,7.194947991E-1
1.996258333E-1,5.671921974E-1,3.833346874E-1,-2.566734713E-1,7.311181452E-1
2.097048333E-1,5.075245777E-1,4.089007607E-1,-2.350943220E-1,6.928566730E-1
2.197848333E-1,6.080468394E-1,4.887345502E-1,-1.486806607E-1,7.941588999E-1
2.298638333E-1,1.032192899E0,7.496422827E-1,1.988842696E-1,1.291100572E0
2.399438333E-1,1.582571720E0,8.301774457E-1,5.817441630E-1,1.879402595E0
2.500228333E-1,1.648914375E0,8.075820503E-1,7.813605040E-1,1.995402622E0
2.601028333E-1,1.529260024E0,8.710898289E-1,1.026204473E0,2.037284794E0
2.701818333E-1,1.625470988E0,1.034003782E0,1.310561587E0,2.329998160E0
2.802618333E-1,1.461334966E0,1.162525290E0,1.546214318E0,2.424405835E0
2.903418333E-1,1.006781923E0,1.123780615E0,1.376925146E0,2.042649155E0
3.004208333E-1,1.013552561E0,1.280398141E0,9.888091904E-1,1.909044737E0
3.105008333E-1,1.010951573E0,1.531978979E0,4.580311131E-1,1.891765095E0
3.205798333E-1,1.001013353E0,1.775074631E0,-4.074105978E-1,2.078196592E0
3.306598333E-1,9.870602882E-1,1.996075702E0,-1.098588910E0,2.483043256E0
3.407388333E-1,1.064001752E0,2.063634285E0,-1.533135851E0,2.782299720E0
3.508188333E-1,4.504687630E-1,1.455297862E0,-1.959244675E0,2.481824666E0
3.608978333E-1,-4.192482859E-2,1.201232688E0,-1.344095954E0,1.803139372E0
3.709778333E-1,-1.028485472E0,1.108073679E0,-5.456311744E-1,1.607271919E0
3.810578333E-1,-1.183071821E0,1.079074413E-1,7.193537056E-2,1.190158664E0
3.911368333E-1,-1.273221268E0,-5.604168094E-1,5.633230948E-1,1.500830539E0
4.012168333E-1,-1.641849916E0,-7.783747695E-1,5.455142301E-1,1.897135789E0
4.112958333E-1,-1.818029447E0,-1.260029365E0,8.375516617E-1,2.365247948E0
4.213758333E-1,-2.096765925E0,-1.438145932E0,1.122585298E0,2.779368421E0
4.314548333E-1,-2.090728090E0,-1.438228817E0,1.136629726E0,2.780570662E0
4.415348333E-1,-1.434906136E0,-1.612598781E0,1.010286013E0,2.383297774E0
4.516148333E-1,-3.372343621E-1,-1.992900956E0,9.441171670E-1,2.230860475E0
4.616938333E-1,4.871596026E-1,-2.429489452E0,8.316424656E-1,2.613689474E0
4.717738333E-1,7.227354428E-1,-2.773812979E0,3.371545476E-1,2.886184012E0
4.818528333E-1,6.048590836E-1,-2.902142113E0,5.097894967E-2,2.964942193E0
